financial_year,council_area,sector,main_client_group,percentage_occupancy
2012/13,Moray,Local Authority/Health Board Sectors,All Adults,77
2012/13,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2012/13,Moray,Private Sector,All Adults,94
2012/13,Moray,Private Sector,Older People Aged 65 and Older,94
2012/13,Moray,Voluntary or Not for Profit Sector,All Adults,90
2012/13,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2012/13,Na h-Eileanan Siar,All Sectors,All Adults,92
2012/13,Na h-Eileanan Siar,All Sectors,Learning Disabilities,82
2012/13,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2012/13,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,93
2012/13,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2012/13,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,88
2012/13,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2012/13,Na h-Eileanan Siar,Private Sector,All Adults,98
2012/13,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,98
2012/13,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,100
2012/13,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2012/13,North Ayrshire,All Sectors,All Adults,85
2012/13,North Ayrshire,All Sectors,Learning Disabilities,72
2012/13,North Ayrshire,All Sectors,Mental Health Problems,100
2012/13,North Ayrshire,All Sectors,Older People Aged 65 and Older,86
2012/13,North Ayrshire,All Sectors,Physical and Sensory Impairment,83
2012/13,North Ayrshire,Local Authority/Health Board Sectors,All Adults,74
2012/13,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,74
2012/13,North Ayrshire,Private Sector,All Adults,84
2012/13,North Ayrshire,Private Sector,Older People Aged 65 and Older,86
2012/13,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,92
2012/13,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2012/13,North Lanarkshire,All Sectors,All Adults,86
2012/13,North Lanarkshire,All Sectors,Learning Disabilities,96
2012/13,North Lanarkshire,All Sectors,Mental Health Problems,94
2012/13,North Lanarkshire,All Sectors,Older People Aged 65 and Older,86
2012/13,North Lanarkshire,All Sectors,Other Groups,76
2012/13,North Lanarkshire,All Sectors,Physical and Sensory Impairment,79
2012/13,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,66
2012/13,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,66
2012/13,North Lanarkshire,Private Sector,All Adults,87
2012/13,North Lanarkshire,Private Sector,Older People Aged 65 and Older,87
2012/13,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,96
2012/13,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2012/13,Orkney Islands,All Sectors,All Adults,92
2012/13,Orkney Islands,All Sectors,Mental Health Problems,0
2012/13,Orkney Islands,All Sectors,Older People Aged 65 and Older,94
2012/13,Orkney Islands,All Sectors,Other Groups,0
2012/13,Orkney Islands,Local Authority/Health Board Sectors,All Adults,93
2012/13,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2012/13,Orkney Islands,Private Sector,All Adults,0
2012/13,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2012/13,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2012/13,Perth and Kinross,All Sectors,All Adults,77
2012/13,Perth and Kinross,All Sectors,Learning Disabilities,88
2012/13,Perth and Kinross,All Sectors,Mental Health Problems,0
2012/13,Perth and Kinross,All Sectors,Older People Aged 65 and Older,75
2012/13,Perth and Kinross,All Sectors,Other Groups,0
2012/13,Perth and Kinross,All Sectors,Physical and Sensory Impairment,92
2012/13,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,73
2012/13,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,73
2012/13,Perth and Kinross,Private Sector,All Adults,75
2012/13,Perth and Kinross,Private Sector,Older People Aged 65 and Older,74
2012/13,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,86
2012/13,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,81
2012/13,Renfrewshire,All Sectors,All Adults,88
2012/13,Renfrewshire,All Sectors,Learning Disabilities,95
2012/13,Renfrewshire,All Sectors,Mental Health Problems,0
2012/13,Renfrewshire,All Sectors,Older People Aged 65 and Older,88
2012/13,Renfrewshire,All Sectors,Other Groups,0
2012/13,Renfrewshire,All Sectors,Physical and Sensory Impairment,95
2012/13,Renfrewshire,Local Authority/Health Board Sectors,All Adults,97
2012/13,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,97
2012/13,Renfrewshire,Private Sector,All Adults,84
2012/13,Renfrewshire,Private Sector,Older People Aged 65 and Older,84
2012/13,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,94
2012/13,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2012/13,Scotland,All Sectors,All Adults,86
2012/13,Scotland,All Sectors,Learning Disabilities,87
2012/13,Scotland,All Sectors,Mental Health Problems,91
2012/13,Scotland,All Sectors,Older People Aged 65 and Older,85
2012/13,Scotland,All Sectors,Other Groups,77
2012/13,Scotland,All Sectors,Physical and Sensory Impairment,83
2012/13,Scotland,Local Authority/Health Board Sectors,All Adults,85
2012/13,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,81
2012/13,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,93
2012/13,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,85
2012/13,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2012/13,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,56
2012/13,Scotland,Private Sector,All Adults,85
2012/13,Scotland,Private Sector,Learning Disabilities,85
2012/13,Scotland,Private Sector,Mental Health Problems,89
2012/13,Scotland,Private Sector,Older People Aged 65 and Older,85
2012/13,Scotland,Private Sector,Other Groups,64
2012/13,Scotland,Private Sector,Physical and Sensory Impairment,71
2012/13,Scotland,Voluntary or Not for Profit Sector,All Adults,89
2012/13,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,91
2012/13,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,94
2012/13,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2012/13,Scotland,Voluntary or Not for Profit Sector,Other Groups,79
2012/13,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,90
2012/13,Scottish Borders,All Sectors,All Adults,83
2012/13,Scottish Borders,All Sectors,Learning Disabilities,93
2012/13,Scottish Borders,All Sectors,Mental Health Problems,0
2012/13,Scottish Borders,All Sectors,Older People Aged 65 and Older,82
2012/13,Scottish Borders,All Sectors,Other Groups,0
2012/13,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2012/13,Scottish Borders,Local Authority/Health Board Sectors,All Adults,78
2012/13,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,78
2012/13,Scottish Borders,Private Sector,All Adults,83
2012/13,Scottish Borders,Private Sector,Older People Aged 65 and Older,83
2012/13,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,88
2012/13,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,81
2012/13,Shetland Islands,All Sectors,All Adults,82
2012/13,Shetland Islands,All Sectors,Learning Disabilities,67
2012/13,Shetland Islands,All Sectors,Mental Health Problems,0
2012/13,Shetland Islands,All Sectors,Older People Aged 65 and Older,82
2012/13,Shetland Islands,All Sectors,Other Groups,0
2012/13,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2012/13,Shetland Islands,Local Authority/Health Board Sectors,All Adults,82
2012/13,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2012/13,Shetland Islands,Private Sector,All Adults,0
2012/13,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2012/13,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,75
2012/13,South Ayrshire,All Sectors,All Adults,89
2012/13,South Ayrshire,All Sectors,Learning Disabilities,94
2012/13,South Ayrshire,All Sectors,Mental Health Problems,0
2012/13,South Ayrshire,All Sectors,Older People Aged 65 and Older,88
2012/13,South Ayrshire,All Sectors,Other Groups,0
2012/13,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2012/13,South Ayrshire,Local Authority/Health Board Sectors,All Adults,84
2012/13,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2012/13,South Ayrshire,Private Sector,All Adults,88
2012/13,South Ayrshire,Private Sector,Older People Aged 65 and Older,88
2012/13,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,96
2012/13,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2012/13,South Lanarkshire,All Sectors,All Adults,82
2012/13,South Lanarkshire,All Sectors,Learning Disabilities,77
2012/13,South Lanarkshire,All Sectors,Mental Health Problems,98
2012/13,South Lanarkshire,All Sectors,Older People Aged 65 and Older,82
2012/13,South Lanarkshire,All Sectors,Other Groups,0
2012/13,South Lanarkshire,All Sectors,Physical and Sensory Impairment,96
2012/13,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,91
2012/13,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,91
2012/13,South Lanarkshire,Private Sector,All Adults,83
2012/13,South Lanarkshire,Private Sector,Older People Aged 65 and Older,83
2012/13,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,67
2012/13,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,62
2012/13,Stirling,All Sectors,All Adults,84
2012/13,Stirling,All Sectors,Learning Disabilities,83
2012/13,Stirling,All Sectors,Mental Health Problems,87
2012/13,Stirling,All Sectors,Older People Aged 65 and Older,84
2012/13,Stirling,All Sectors,Other Groups,0
2012/13,Stirling,All Sectors,Physical and Sensory Impairment,100
2012/13,Stirling,Local Authority/Health Board Sectors,All Adults,87
2012/13,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,87
2012/13,Stirling,Private Sector,All Adults,83
2012/13,Stirling,Private Sector,Older People Aged 65 and Older,83
2012/13,Stirling,Voluntary or Not for Profit Sector,All Adults,91
2012/13,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,83
2012/13,West Dunbartonshire,All Sectors,All Adults,83
2012/13,West Dunbartonshire,All Sectors,Learning Disabilities,100
2012/13,West Dunbartonshire,All Sectors,Mental Health Problems,86
2012/13,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,82
2012/13,West Dunbartonshire,All Sectors,Other Groups,0
2012/13,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2012/13,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,82
2012/13,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,82
2012/13,West Dunbartonshire,Private Sector,All Adults,83
2012/13,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,82
2012/13,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2012/13,West Lothian,All Sectors,All Adults,92
2012/13,West Lothian,All Sectors,Learning Disabilities,90
2012/13,West Lothian,All Sectors,Mental Health Problems,0
2012/13,West Lothian,All Sectors,Older People Aged 65 and Older,93
2012/13,West Lothian,All Sectors,Other Groups,0
2012/13,West Lothian,All Sectors,Physical and Sensory Impairment,70
2012/13,West Lothian,Local Authority/Health Board Sectors,All Adults,90
2012/13,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,92
2012/13,West Lothian,Private Sector,All Adults,93
2012/13,West Lothian,Private Sector,Older People Aged 65 and Older,93
2012/13,West Lothian,Voluntary or Not for Profit Sector,All Adults,90
2012/13,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2013/14,Aberdeen City,All Sectors,All Adults,87
2013/14,Aberdeen City,All Sectors,Learning Disabilities,93
2013/14,Aberdeen City,All Sectors,Mental Health Problems,90
2013/14,Aberdeen City,All Sectors,Older People Aged 65 and Older,86
2013/14,Aberdeen City,All Sectors,Other Groups,82
2013/14,Aberdeen City,All Sectors,Physical and Sensory Impairment,89
2013/14,Aberdeen City,Local Authority/Health Board Sectors,All Adults,0
2013/14,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2013/14,Aberdeen City,Private Sector,All Adults,85
2013/14,Aberdeen City,Private Sector,Older People Aged 65 and Older,85
2013/14,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,91
2013/14,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,88
2013/14,Aberdeenshire,All Sectors,All Adults,85
2013/14,Aberdeenshire,All Sectors,Learning Disabilities,88
2013/14,Aberdeenshire,All Sectors,Mental Health Problems,95
2013/14,Aberdeenshire,All Sectors,Older People Aged 65 and Older,85
2013/14,Aberdeenshire,All Sectors,Other Groups,0
2013/14,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2013/14,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,82
2013/14,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,82
2013/14,Aberdeenshire,Private Sector,All Adults,85
2013/14,Aberdeenshire,Private Sector,Older People Aged 65 and Older,85
2013/14,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,91
2013/14,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,90
2013/14,Angus,All Sectors,All Adults,89
2013/14,Angus,All Sectors,Learning Disabilities,95
2013/14,Angus,All Sectors,Mental Health Problems,0
2013/14,Angus,All Sectors,Older People Aged 65 and Older,88
2013/14,Angus,All Sectors,Other Groups,0
2013/14,Angus,All Sectors,Physical and Sensory Impairment,0
2013/14,Angus,Local Authority/Health Board Sectors,All Adults,90
2013/14,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,90
2013/14,Angus,Private Sector,All Adults,88
2013/14,Angus,Private Sector,Older People Aged 65 and Older,88
2013/14,Angus,Voluntary or Not for Profit Sector,All Adults,98
2013/14,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,98
2013/14,Argyll and Bute,All Sectors,All Adults,83
2013/14,Argyll and Bute,All Sectors,Learning Disabilities,93
2013/14,Argyll and Bute,All Sectors,Mental Health Problems,0
2013/14,Argyll and Bute,All Sectors,Older People Aged 65 and Older,83
2013/14,Argyll and Bute,All Sectors,Other Groups,0
2013/14,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2013/14,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,80
2013/14,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,80
2013/14,Argyll and Bute,Private Sector,All Adults,82
2013/14,Argyll and Bute,Private Sector,Older People Aged 65 and Older,82
2013/14,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,88
2013/14,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2013/14,City of Edinburgh,All Sectors,All Adults,88
2013/14,City of Edinburgh,All Sectors,Learning Disabilities,96
2013/14,City of Edinburgh,All Sectors,Mental Health Problems,93
2013/14,City of Edinburgh,All Sectors,Older People Aged 65 and Older,88
2013/14,City of Edinburgh,All Sectors,Other Groups,69
2013/14,City of Edinburgh,All Sectors,Physical and Sensory Impairment,91
2013/14,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,90
2013/14,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,90
2013/14,City of Edinburgh,Private Sector,All Adults,87
2013/14,City of Edinburgh,Private Sector,Older People Aged 65 and Older,87
2013/14,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,92
2013/14,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2013/14,Clackmannanshire,All Sectors,All Adults,95
2013/14,Clackmannanshire,All Sectors,Learning Disabilities,93
2013/14,Clackmannanshire,All Sectors,Mental Health Problems,100
2013/14,Clackmannanshire,All Sectors,Older People Aged 65 and Older,95
2013/14,Clackmannanshire,All Sectors,Other Groups,0
2013/14,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2013/14,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,87
2013/14,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,87
2013/14,Clackmannanshire,Private Sector,All Adults,97
2013/14,Clackmannanshire,Private Sector,Older People Aged 65 and Older,97
2013/14,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,90
2013/14,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2013/14,Dumfries and Galloway,All Sectors,All Adults,91
2013/14,Dumfries and Galloway,All Sectors,Learning Disabilities,87
2013/14,Dumfries and Galloway,All Sectors,Mental Health Problems,83
2013/14,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,91
2013/14,Dumfries and Galloway,All Sectors,Other Groups,0
2013/14,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2013/14,Dumfries and Galloway,Private Sector,All Adults,90
2013/14,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,90
2013/14,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,94
2013/14,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2013/14,Dundee City,All Sectors,All Adults,86
2013/14,Dundee City,All Sectors,Learning Disabilities,96
2013/14,Dundee City,All Sectors,Mental Health Problems,80
2013/14,Dundee City,All Sectors,Older People Aged 65 and Older,87
2013/14,Dundee City,All Sectors,Other Groups,0
2013/14,Dundee City,All Sectors,Physical and Sensory Impairment,0
2013/14,Dundee City,Local Authority/Health Board Sectors,All Adults,90
2013/14,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,96
2013/14,Dundee City,Private Sector,All Adults,85
2013/14,Dundee City,Private Sector,Older People Aged 65 and Older,85
2013/14,Dundee City,Voluntary or Not for Profit Sector,All Adults,99
2013/14,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,99
2013/14,East Ayrshire,All Sectors,All Adults,84
2013/14,East Ayrshire,All Sectors,Learning Disabilities,81
2013/14,East Ayrshire,All Sectors,Mental Health Problems,56
2013/14,East Ayrshire,All Sectors,Older People Aged 65 and Older,85
2013/14,East Ayrshire,All Sectors,Other Groups,0
2013/14,East Ayrshire,All Sectors,Physical and Sensory Impairment,100
2013/14,East Ayrshire,Local Authority/Health Board Sectors,All Adults,92
2013/14,East Ayrshire,Private Sector,All Adults,84
2013/14,East Ayrshire,Private Sector,Older People Aged 65 and Older,85
2013/14,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2013/14,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2013/14,East Dunbartonshire,All Sectors,All Adults,88
2013/14,East Dunbartonshire,All Sectors,Learning Disabilities,95
2013/14,East Dunbartonshire,All Sectors,Mental Health Problems,88
2013/14,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,88
2013/14,East Dunbartonshire,All Sectors,Other Groups,0
2013/14,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,100
2013/14,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,100
2013/14,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2013/14,East Dunbartonshire,Private Sector,All Adults,88
2013/14,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,88
2013/14,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,100
2013/14,East Lothian,All Sectors,All Adults,83
2013/14,East Lothian,All Sectors,Learning Disabilities,86
2013/14,East Lothian,All Sectors,Mental Health Problems,0
2013/14,East Lothian,All Sectors,Older People Aged 65 and Older,84
2013/14,East Lothian,All Sectors,Other Groups,0
2013/14,East Lothian,All Sectors,Physical and Sensory Impairment,65
2013/14,East Lothian,Local Authority/Health Board Sectors,All Adults,81
2013/14,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,81
2013/14,East Lothian,Private Sector,All Adults,83
2013/14,East Lothian,Private Sector,Older People Aged 65 and Older,83
2013/14,East Lothian,Voluntary or Not for Profit Sector,All Adults,87
2013/14,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2013/14,East Renfrewshire,All Sectors,All Adults,94
2013/14,East Renfrewshire,All Sectors,Learning Disabilities,90
2013/14,East Renfrewshire,All Sectors,Mental Health Problems,0
2013/14,East Renfrewshire,All Sectors,Older People Aged 65 and Older,94
2013/14,East Renfrewshire,All Sectors,Other Groups,0
2013/14,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2013/14,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,88
2013/14,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,88
2013/14,East Renfrewshire,Private Sector,All Adults,93
2013/14,East Renfrewshire,Private Sector,Older People Aged 65 and Older,93
2013/14,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,96
2013/14,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2013/14,Falkirk,All Sectors,All Adults,86
2013/14,Falkirk,All Sectors,Learning Disabilities,88
2013/14,Falkirk,All Sectors,Mental Health Problems,100
2013/14,Falkirk,All Sectors,Older People Aged 65 and Older,86
2013/14,Falkirk,All Sectors,Other Groups,0
2013/14,Falkirk,All Sectors,Physical and Sensory Impairment,0
2013/14,Falkirk,Local Authority/Health Board Sectors,All Adults,78
2013/14,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,79
2013/14,Falkirk,Private Sector,All Adults,87
2013/14,Falkirk,Private Sector,Older People Aged 65 and Older,86
2013/14,Falkirk,Voluntary or Not for Profit Sector,All Adults,97
2013/14,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2013/14,Fife,All Sectors,All Adults,84
2013/14,Fife,All Sectors,Learning Disabilities,88
2013/14,Fife,All Sectors,Mental Health Problems,100
2013/14,Fife,All Sectors,Older People Aged 65 and Older,85
2013/14,Fife,All Sectors,Other Groups,0
2013/14,Fife,All Sectors,Physical and Sensory Impairment,45
2013/14,Fife,Local Authority/Health Board Sectors,All Adults,89
2013/14,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2013/14,Fife,Private Sector,All Adults,84
2013/14,Fife,Private Sector,Older People Aged 65 and Older,84
2013/14,Fife,Voluntary or Not for Profit Sector,All Adults,87
2013/14,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2013/14,Glasgow City,All Sectors,All Adults,84
2013/14,Glasgow City,All Sectors,Learning Disabilities,96
2013/14,Glasgow City,All Sectors,Mental Health Problems,93
2013/14,Glasgow City,All Sectors,Older People Aged 65 and Older,84
2013/14,Glasgow City,All Sectors,Other Groups,73
2013/14,Glasgow City,All Sectors,Physical and Sensory Impairment,90
2013/14,Glasgow City,Local Authority/Health Board Sectors,All Adults,92
2013/14,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,93
2013/14,Glasgow City,Private Sector,All Adults,82
2013/14,Glasgow City,Private Sector,Older People Aged 65 and Older,82
2013/14,Glasgow City,Voluntary or Not for Profit Sector,All Adults,88
2013/14,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2013/14,Highland,All Sectors,All Adults,90
2013/14,Highland,All Sectors,Learning Disabilities,89
2013/14,Highland,All Sectors,Mental Health Problems,94
2013/14,Highland,All Sectors,Older People Aged 65 and Older,90
2013/14,Highland,All Sectors,Physical and Sensory Impairment,100
2013/14,Highland,Local Authority/Health Board Sectors,All Adults,89
2013/14,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,91
2013/14,Highland,Private Sector,All Adults,90
2013/14,Highland,Private Sector,Older People Aged 65 and Older,90
2013/14,Highland,Voluntary or Not for Profit Sector,All Adults,89
2013/14,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2013/14,Inverclyde,All Sectors,All Adults,93
2013/14,Inverclyde,All Sectors,Learning Disabilities,91
2013/14,Inverclyde,All Sectors,Mental Health Problems,100
2013/14,Inverclyde,All Sectors,Older People Aged 65 and Older,93
2013/14,Inverclyde,All Sectors,Other Groups,0
2013/14,Inverclyde,All Sectors,Physical and Sensory Impairment,95
2013/14,Inverclyde,Private Sector,All Adults,93
2013/14,Inverclyde,Private Sector,Older People Aged 65 and Older,93
2013/14,Inverclyde,Voluntary or Not for Profit Sector,All Adults,92
2013/14,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2013/14,Midlothian,All Sectors,All Adults,87
2013/14,Midlothian,All Sectors,Learning Disabilities,86
2013/14,Midlothian,All Sectors,Mental Health Problems,0
2013/14,Midlothian,All Sectors,Older People Aged 65 and Older,87
2013/14,Midlothian,All Sectors,Other Groups,0
2013/14,Midlothian,All Sectors,Physical and Sensory Impairment,0
2013/14,Midlothian,Local Authority/Health Board Sectors,All Adults,93
2013/14,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,93
2013/14,Midlothian,Private Sector,All Adults,86
2013/14,Midlothian,Private Sector,Older People Aged 65 and Older,86
2013/14,Midlothian,Voluntary or Not for Profit Sector,All Adults,84
2013/14,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,85
2013/14,Moray,All Sectors,All Adults,95
2013/14,Moray,All Sectors,Learning Disabilities,81
2013/14,Moray,All Sectors,Mental Health Problems,100
2013/14,Moray,All Sectors,Older People Aged 65 and Older,96
2013/14,Moray,All Sectors,Other Groups,0
2013/14,Moray,Local Authority/Health Board Sectors,All Adults,69
2013/14,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2013/14,Moray,Private Sector,All Adults,96
2013/14,Moray,Private Sector,Older People Aged 65 and Older,96
2013/14,Moray,Voluntary or Not for Profit Sector,All Adults,90
2013/14,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2013/14,Na h-Eileanan Siar,All Sectors,All Adults,95
2013/14,Na h-Eileanan Siar,All Sectors,Learning Disabilities,82
2013/14,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2013/14,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,96
2013/14,Na h-Eileanan Siar,All Sectors,Other Groups,0
2013/14,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2013/14,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,93
2013/14,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2013/14,Na h-Eileanan Siar,Private Sector,All Adults,98
2013/14,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,98
2013/14,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,100
2013/14,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2013/14,North Ayrshire,All Sectors,All Adults,85
2013/14,North Ayrshire,All Sectors,Learning Disabilities,88
2013/14,North Ayrshire,All Sectors,Mental Health Problems,100
2013/14,North Ayrshire,All Sectors,Older People Aged 65 and Older,85
2013/14,North Ayrshire,All Sectors,Other Groups,100
2013/14,North Ayrshire,All Sectors,Physical and Sensory Impairment,75
2013/14,North Ayrshire,Local Authority/Health Board Sectors,All Adults,78
2013/14,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,78
2013/14,North Ayrshire,Private Sector,All Adults,85
2013/14,North Ayrshire,Private Sector,Older People Aged 65 and Older,84
2013/14,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,88
2013/14,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,94
2013/14,North Lanarkshire,All Sectors,All Adults,88
