date,council_area_2019,main_client_group,sector,percentage_occupancy,council_area,financial_year
2011-03-31,S12000013,Learning Disabilities,All Sectors,73,Na h-Eileanan Siar,2010/11
2011-03-31,S12000014,Learning Disabilities,All Sectors,91,Falkirk,2010/11
2011-03-31,S12000017,Learning Disabilities,All Sectors,88,Highland,2010/11
2011-03-31,S12000018,Learning Disabilities,All Sectors,86,Inverclyde,2010/11
2011-03-31,S12000019,Learning Disabilities,All Sectors,87,Midlothian,2010/11
2011-03-31,S12000020,Learning Disabilities,All Sectors,74,Moray,2010/11
2011-03-31,S12000021,Learning Disabilities,All Sectors,75,North Ayrshire,2010/11
2011-03-31,S12000023,Learning Disabilities,All Sectors,86,Orkney Islands,2010/11
2011-03-31,S12000026,Learning Disabilities,All Sectors,89,Scottish Borders,2010/11
2011-03-31,S12000027,Learning Disabilities,All Sectors,56,Shetland Islands,2010/11
2011-03-31,S12000028,Learning Disabilities,All Sectors,92,South Ayrshire,2010/11
2011-03-31,S12000029,Learning Disabilities,All Sectors,79,South Lanarkshire,2010/11
2011-03-31,S12000030,Learning Disabilities,All Sectors,80,Stirling,2010/11
2011-03-31,S12000033,Learning Disabilities,All Sectors,95,Aberdeen City,2010/11
2011-03-31,S12000034,Learning Disabilities,All Sectors,90,Aberdeenshire,2010/11
2011-03-31,S12000035,Learning Disabilities,All Sectors,70,Argyll and Bute,2010/11
2011-03-31,S12000036,Learning Disabilities,All Sectors,91,City of Edinburgh,2010/11
2011-03-31,S12000038,Learning Disabilities,All Sectors,98,Renfrewshire,2010/11
2011-03-31,S12000039,Learning Disabilities,All Sectors,83,West Dunbartonshire,2010/11
2011-03-31,S12000040,Learning Disabilities,All Sectors,92,West Lothian,2010/11
2011-03-31,S12000041,Learning Disabilities,All Sectors,84,Angus,2010/11
2011-03-31,S12000042,Learning Disabilities,All Sectors,81,Dundee City,2010/11
2011-03-31,S12000045,Learning Disabilities,All Sectors,86,East Dunbartonshire,2010/11
2011-03-31,S12000047,Learning Disabilities,All Sectors,69,Fife,2010/11
2011-03-31,S12000048,Learning Disabilities,All Sectors,93,Perth and Kinross,2010/11
2011-03-31,S12000049,Learning Disabilities,All Sectors,95,Glasgow City,2010/11
2011-03-31,S12000050,Learning Disabilities,All Sectors,83,North Lanarkshire,2010/11
2011-03-31,S92000003,Learning Disabilities,All Sectors,86,Scotland,2010/11
2011-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,83,Scotland,2010/11
2011-03-31,S92000003,Learning Disabilities,Private Sector,83,Scotland,2010/11
2011-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,90,Scotland,2010/11
2011-03-31,S12000005,Mental Health Problems,All Sectors,80,Clackmannanshire,2010/11
2011-03-31,S12000006,Mental Health Problems,All Sectors,62,Dumfries and Galloway,2010/11
2011-03-31,S12000008,Mental Health Problems,All Sectors,100,East Ayrshire,2010/11
2011-03-31,S12000010,Mental Health Problems,All Sectors,0,East Lothian,2010/11
2011-03-31,S12000011,Mental Health Problems,All Sectors,0,East Renfrewshire,2010/11
2011-03-31,S12000013,Mental Health Problems,All Sectors,0,Na h-Eileanan Siar,2010/11
2011-03-31,S12000014,Mental Health Problems,All Sectors,100,Falkirk,2010/11
2011-03-31,S12000017,Mental Health Problems,All Sectors,95,Highland,2010/11
2011-03-31,S12000018,Mental Health Problems,All Sectors,100,Inverclyde,2010/11
2011-03-31,S12000019,Mental Health Problems,All Sectors,0,Midlothian,2010/11
2011-03-31,S12000021,Mental Health Problems,All Sectors,100,North Ayrshire,2010/11
2011-03-31,S12000023,Mental Health Problems,All Sectors,0,Orkney Islands,2010/11
2011-03-31,S12000026,Mental Health Problems,All Sectors,0,Scottish Borders,2010/11
2011-03-31,S12000027,Mental Health Problems,All Sectors,0,Shetland Islands,2010/11
2011-03-31,S12000028,Mental Health Problems,All Sectors,0,South Ayrshire,2010/11
2011-03-31,S12000029,Mental Health Problems,All Sectors,93,South Lanarkshire,2010/11
2011-03-31,S12000030,Mental Health Problems,All Sectors,100,Stirling,2010/11
2011-03-31,S12000033,Mental Health Problems,All Sectors,97,Aberdeen City,2010/11
2011-03-31,S12000034,Mental Health Problems,All Sectors,92,Aberdeenshire,2010/11
2011-03-31,S12000035,Mental Health Problems,All Sectors,0,Argyll and Bute,2010/11
2011-03-31,S12000036,Mental Health Problems,All Sectors,87,City of Edinburgh,2010/11
2011-03-31,S12000038,Mental Health Problems,All Sectors,0,Renfrewshire,2010/11
2011-03-31,S12000039,Mental Health Problems,All Sectors,0,West Dunbartonshire,2010/11
2011-03-31,S12000040,Mental Health Problems,All Sectors,0,West Lothian,2010/11
2011-03-31,S12000041,Mental Health Problems,All Sectors,0,Angus,2010/11
2011-03-31,S12000042,Mental Health Problems,All Sectors,69,Dundee City,2010/11
2011-03-31,S12000045,Mental Health Problems,All Sectors,57,East Dunbartonshire,2010/11
2011-03-31,S12000047,Mental Health Problems,All Sectors,100,Fife,2010/11
2011-03-31,S12000049,Mental Health Problems,All Sectors,88,Glasgow City,2010/11
2011-03-31,S12000050,Mental Health Problems,All Sectors,94,North Lanarkshire,2010/11
2011-03-31,S92000003,Mental Health Problems,All Sectors,87,Scotland,2010/11
2011-03-31,S92000003,Mental Health Problems,Local Authority/Health Board Sectors,97,Scotland,2010/11
2011-03-31,S92000003,Mental Health Problems,Private Sector,81,Scotland,2010/11
2011-03-31,S92000003,Mental Health Problems,Voluntary or Not for Profit Sector,92,Scotland,2010/11
2011-03-31,S12000005,Older People Aged 65 and Older,All Sectors,87,Clackmannanshire,2010/11
2011-03-31,S12000005,Older People Aged 65 and Older,Local Authority/Health Board Sectors,87,Clackmannanshire,2010/11
2011-03-31,S12000005,Older People Aged 65 and Older,Private Sector,88,Clackmannanshire,2010/11
2011-03-31,S12000005,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Clackmannanshire,2010/11
2011-03-31,S12000006,Older People Aged 65 and Older,All Sectors,91,Dumfries and Galloway,2010/11
2011-03-31,S12000006,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Dumfries and Galloway,2010/11
2011-03-31,S12000006,Older People Aged 65 and Older,Private Sector,89,Dumfries and Galloway,2010/11
2011-03-31,S12000006,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,96,Dumfries and Galloway,2010/11
2011-03-31,S12000008,Older People Aged 65 and Older,All Sectors,92,East Ayrshire,2010/11
2011-03-31,S12000008,Older People Aged 65 and Older,Local Authority/Health Board Sectors,90,East Ayrshire,2010/11
2011-03-31,S12000008,Older People Aged 65 and Older,Private Sector,92,East Ayrshire,2010/11
2011-03-31,S12000008,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,East Ayrshire,2010/11
2011-03-31,S12000010,Older People Aged 65 and Older,All Sectors,91,East Lothian,2010/11
2011-03-31,S12000010,Older People Aged 65 and Older,Local Authority/Health Board Sectors,88,East Lothian,2010/11
2011-03-31,S12000010,Older People Aged 65 and Older,Private Sector,91,East Lothian,2010/11
2011-03-31,S12000010,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,97,East Lothian,2010/11
2011-03-31,S12000011,Older People Aged 65 and Older,All Sectors,81,East Renfrewshire,2010/11
2011-03-31,S12000011,Older People Aged 65 and Older,Local Authority/Health Board Sectors,100,East Renfrewshire,2010/11
2011-03-31,S12000011,Older People Aged 65 and Older,Private Sector,77,East Renfrewshire,2010/11
2011-03-31,S12000011,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,86,East Renfrewshire,2010/11
2011-03-31,S12000013,Older People Aged 65 and Older,All Sectors,95,Na h-Eileanan Siar,2010/11
2011-03-31,S12000013,Older People Aged 65 and Older,Local Authority/Health Board Sectors,92,Na h-Eileanan Siar,2010/11
2011-03-31,S12000013,Older People Aged 65 and Older,Private Sector,100,Na h-Eileanan Siar,2010/11
2011-03-31,S12000013,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,100,Na h-Eileanan Siar,2010/11
2011-03-31,S12000014,Older People Aged 65 and Older,All Sectors,87,Falkirk,2010/11
2011-03-31,S12000014,Older People Aged 65 and Older,Local Authority/Health Board Sectors,73,Falkirk,2010/11
2011-03-31,S12000014,Older People Aged 65 and Older,Private Sector,90,Falkirk,2010/11
2011-03-31,S12000014,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,98,Falkirk,2010/11
2011-03-31,S12000017,Older People Aged 65 and Older,All Sectors,92,Highland,2010/11
2011-03-31,S12000017,Older People Aged 65 and Older,Local Authority/Health Board Sectors,93,Highland,2010/11
2011-03-31,S12000017,Older People Aged 65 and Older,Private Sector,91,Highland,2010/11
2011-03-31,S12000017,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,94,Highland,2010/11
2011-03-31,S12000018,Older People Aged 65 and Older,All Sectors,84,Inverclyde,2010/11
2011-03-31,S12000018,Older People Aged 65 and Older,Private Sector,80,Inverclyde,2010/11
2011-03-31,S12000018,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,94,Inverclyde,2010/11
2011-03-31,S12000019,Older People Aged 65 and Older,All Sectors,91,Midlothian,2010/11
2011-03-31,S12000019,Older People Aged 65 and Older,Local Authority/Health Board Sectors,95,Midlothian,2010/11
2011-03-31,S12000019,Older People Aged 65 and Older,Private Sector,90,Midlothian,2010/11
2011-03-31,S12000019,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,87,Midlothian,2010/11
2011-03-31,S12000020,Older People Aged 65 and Older,All Sectors,83,Moray,2010/11
2011-03-31,S12000020,Older People Aged 65 and Older,Private Sector,82,Moray,2010/11
2011-03-31,S12000020,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,88,Moray,2010/11
2011-03-31,S12000021,Older People Aged 65 and Older,All Sectors,85,North Ayrshire,2010/11
2011-03-31,S12000021,Older People Aged 65 and Older,Local Authority/Health Board Sectors,79,North Ayrshire,2010/11
2011-03-31,S12000021,Older People Aged 65 and Older,Private Sector,85,North Ayrshire,2010/11
2011-03-31,S12000021,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,North Ayrshire,2010/11
2011-03-31,S12000023,Older People Aged 65 and Older,All Sectors,90,Orkney Islands,2010/11
2011-03-31,S12000023,Older People Aged 65 and Older,Local Authority/Health Board Sectors,93,Orkney Islands,2010/11
2011-03-31,S12000023,Older People Aged 65 and Older,Private Sector,0,Orkney Islands,2010/11
2011-03-31,S12000023,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,69,Orkney Islands,2010/11
2011-03-31,S12000026,Older People Aged 65 and Older,All Sectors,83,Scottish Borders,2010/11
2011-03-31,S12000026,Older People Aged 65 and Older,Local Authority/Health Board Sectors,88,Scottish Borders,2010/11
2011-03-31,S12000026,Older People Aged 65 and Older,Private Sector,80,Scottish Borders,2010/11
2011-03-31,S12000026,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,98,Scottish Borders,2010/11
2011-03-31,S12000027,Older People Aged 65 and Older,All Sectors,98,Shetland Islands,2010/11
2011-03-31,S12000027,Older People Aged 65 and Older,Local Authority/Health Board Sectors,97,Shetland Islands,2010/11
2011-03-31,S12000027,Older People Aged 65 and Older,Private Sector,0,Shetland Islands,2010/11
2011-03-31,S12000028,Older People Aged 65 and Older,All Sectors,88,South Ayrshire,2010/11
2011-03-31,S12000028,Older People Aged 65 and Older,Local Authority/Health Board Sectors,78,South Ayrshire,2010/11
2011-03-31,S12000028,Older People Aged 65 and Older,Private Sector,89,South Ayrshire,2010/11
2011-03-31,S12000028,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,92,South Ayrshire,2010/11
2011-03-31,S12000029,Older People Aged 65 and Older,All Sectors,87,South Lanarkshire,2010/11
2011-03-31,S12000029,Older People Aged 65 and Older,Local Authority/Health Board Sectors,90,South Lanarkshire,2010/11
2011-03-31,S12000029,Older People Aged 65 and Older,Private Sector,87,South Lanarkshire,2010/11
2011-03-31,S12000029,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,83,South Lanarkshire,2010/11
2011-03-31,S12000030,Older People Aged 65 and Older,All Sectors,91,Stirling,2010/11
2011-03-31,S12000030,Older People Aged 65 and Older,Local Authority/Health Board Sectors,95,Stirling,2010/11
2011-03-31,S12000030,Older People Aged 65 and Older,Private Sector,91,Stirling,2010/11
2011-03-31,S12000030,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,88,Stirling,2010/11
2011-03-31,S12000033,Older People Aged 65 and Older,All Sectors,91,Aberdeen City,2010/11
2011-03-31,S12000033,Older People Aged 65 and Older,Local Authority/Health Board Sectors,92,Aberdeen City,2010/11
2011-03-31,S12000033,Older People Aged 65 and Older,Private Sector,90,Aberdeen City,2010/11
2011-03-31,S12000033,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,91,Aberdeen City,2010/11
2011-03-31,S12000034,Older People Aged 65 and Older,All Sectors,89,Aberdeenshire,2010/11
2011-03-31,S12000034,Older People Aged 65 and Older,Local Authority/Health Board Sectors,86,Aberdeenshire,2010/11
2011-03-31,S12000034,Older People Aged 65 and Older,Private Sector,89,Aberdeenshire,2010/11
2011-03-31,S12000034,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,93,Aberdeenshire,2010/11
2011-03-31,S12000035,Older People Aged 65 and Older,All Sectors,86,Argyll and Bute,2010/11
2011-03-31,S12000035,Older People Aged 65 and Older,Local Authority/Health Board Sectors,90,Argyll and Bute,2010/11
2011-03-31,S12000035,Older People Aged 65 and Older,Private Sector,84,Argyll and Bute,2010/11
2011-03-31,S12000035,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,96,Argyll and Bute,2010/11
2011-03-31,S12000036,Older People Aged 65 and Older,All Sectors,91,City of Edinburgh,2010/11
2011-03-31,S12000036,Older People Aged 65 and Older,Local Authority/Health Board Sectors,94,City of Edinburgh,2010/11
2011-03-31,S12000036,Older People Aged 65 and Older,Private Sector,90,City of Edinburgh,2010/11
2011-03-31,S12000036,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,93,City of Edinburgh,2010/11
2011-03-31,S12000038,Older People Aged 65 and Older,All Sectors,90,Renfrewshire,2010/11
2011-03-31,S12000038,Older People Aged 65 and Older,Local Authority/Health Board Sectors,96,Renfrewshire,2010/11
2011-03-31,S12000038,Older People Aged 65 and Older,Private Sector,88,Renfrewshire,2010/11
2011-03-31,S12000038,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,100,Renfrewshire,2010/11
2011-03-31,S12000039,Older People Aged 65 and Older,All Sectors,89,West Dunbartonshire,2010/11
2011-03-31,S12000039,Older People Aged 65 and Older,Local Authority/Health Board Sectors,93,West Dunbartonshire,2010/11
2011-03-31,S12000039,Older People Aged 65 and Older,Private Sector,87,West Dunbartonshire,2010/11
2011-03-31,S12000039,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,West Dunbartonshire,2010/11
2011-03-31,S12000040,Older People Aged 65 and Older,All Sectors,87,West Lothian,2010/11
2011-03-31,S12000040,Older People Aged 65 and Older,Local Authority/Health Board Sectors,86,West Lothian,2010/11
2011-03-31,S12000040,Older People Aged 65 and Older,Private Sector,86,West Lothian,2010/11
2011-03-31,S12000040,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,88,West Lothian,2010/11
2011-03-31,S12000041,Older People Aged 65 and Older,All Sectors,93,Angus,2010/11
2011-03-31,S12000041,Older People Aged 65 and Older,Local Authority/Health Board Sectors,92,Angus,2010/11
2011-03-31,S12000041,Older People Aged 65 and Older,Private Sector,92,Angus,2010/11
2011-03-31,S12000041,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,98,Angus,2010/11
2011-03-31,S12000042,Older People Aged 65 and Older,All Sectors,85,Dundee City,2010/11
2011-03-31,S12000042,Older People Aged 65 and Older,Local Authority/Health Board Sectors,97,Dundee City,2010/11
2011-03-31,S12000042,Older People Aged 65 and Older,Private Sector,82,Dundee City,2010/11
2011-03-31,S12000042,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,94,Dundee City,2010/11
2011-03-31,S12000045,Older People Aged 65 and Older,All Sectors,85,East Dunbartonshire,2010/11
2011-03-31,S12000045,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,East Dunbartonshire,2010/11
2011-03-31,S12000045,Older People Aged 65 and Older,Private Sector,84,East Dunbartonshire,2010/11
2011-03-31,S12000047,Older People Aged 65 and Older,All Sectors,87,Fife,2010/11
2011-03-31,S12000047,Older People Aged 65 and Older,Local Authority/Health Board Sectors,84,Fife,2010/11
2011-03-31,S12000047,Older People Aged 65 and Older,Private Sector,87,Fife,2010/11
2011-03-31,S12000047,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,98,Fife,2010/11
2011-03-31,S12000048,Older People Aged 65 and Older,All Sectors,82,Perth and Kinross,2010/11
2011-03-31,S12000048,Older People Aged 65 and Older,Local Authority/Health Board Sectors,68,Perth and Kinross,2010/11
2011-03-31,S12000048,Older People Aged 65 and Older,Private Sector,82,Perth and Kinross,2010/11
2011-03-31,S12000048,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,88,Perth and Kinross,2010/11
2011-03-31,S12000049,Older People Aged 65 and Older,All Sectors,86,Glasgow City,2010/11
2011-03-31,S12000049,Older People Aged 65 and Older,Local Authority/Health Board Sectors,94,Glasgow City,2010/11
2011-03-31,S12000049,Older People Aged 65 and Older,Private Sector,84,Glasgow City,2010/11
2011-03-31,S12000049,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,96,Glasgow City,2010/11
2011-03-31,S12000050,Older People Aged 65 and Older,All Sectors,85,North Lanarkshire,2010/11
2011-03-31,S12000050,Older People Aged 65 and Older,Local Authority/Health Board Sectors,65,North Lanarkshire,2010/11
2011-03-31,S12000050,Older People Aged 65 and Older,Private Sector,87,North Lanarkshire,2010/11
2011-03-31,S12000050,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,100,North Lanarkshire,2010/11
2011-03-31,S92000003,Older People Aged 65 and Older,All Sectors,88,Scotland,2010/11
2011-03-31,S92000003,Older People Aged 65 and Older,Local Authority/Health Board Sectors,90,Scotland,2010/11
2011-03-31,S92000003,Older People Aged 65 and Older,Private Sector,87,Scotland,2010/11
2011-03-31,S92000003,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,92,Scotland,2010/11
2011-03-31,S12000005,Other Groups,All Sectors,0,Clackmannanshire,2010/11
2011-03-31,S12000006,Other Groups,All Sectors,0,Dumfries and Galloway,2010/11
2011-03-31,S12000008,Other Groups,All Sectors,0,East Ayrshire,2010/11
2011-03-31,S12000010,Other Groups,All Sectors,0,East Lothian,2010/11
2011-03-31,S12000011,Other Groups,All Sectors,0,East Renfrewshire,2010/11
2011-03-31,S12000013,Other Groups,All Sectors,0,Na h-Eileanan Siar,2010/11
2011-03-31,S12000014,Other Groups,All Sectors,0,Falkirk,2010/11
2011-03-31,S12000017,Other Groups,All Sectors,40,Highland,2010/11
2011-03-31,S12000018,Other Groups,All Sectors,0,Inverclyde,2010/11
2011-03-31,S12000019,Other Groups,All Sectors,0,Midlothian,2010/11
2011-03-31,S12000020,Other Groups,All Sectors,0,Moray,2010/11
2011-03-31,S12000021,Other Groups,All Sectors,83,North Ayrshire,2010/11
2011-03-31,S12000023,Other Groups,All Sectors,0,Orkney Islands,2010/11
2011-03-31,S12000026,Other Groups,All Sectors,0,Scottish Borders,2010/11
2011-03-31,S12000027,Other Groups,All Sectors,0,Shetland Islands,2010/11
2011-03-31,S12000028,Other Groups,All Sectors,0,South Ayrshire,2010/11
2011-03-31,S12000029,Other Groups,All Sectors,0,South Lanarkshire,2010/11
2011-03-31,S12000030,Other Groups,All Sectors,0,Stirling,2010/11
2011-03-31,S12000033,Other Groups,All Sectors,84,Aberdeen City,2010/11
2011-03-31,S12000034,Other Groups,All Sectors,0,Aberdeenshire,2010/11
2011-03-31,S12000035,Other Groups,All Sectors,0,Argyll and Bute,2010/11
2011-03-31,S12000036,Other Groups,All Sectors,82,City of Edinburgh,2010/11
2011-03-31,S12000038,Other Groups,All Sectors,0,Renfrewshire,2010/11
2011-03-31,S12000039,Other Groups,All Sectors,0,West Dunbartonshire,2010/11
2011-03-31,S12000040,Other Groups,All Sectors,0,West Lothian,2010/11
2011-03-31,S12000041,Other Groups,All Sectors,0,Angus,2010/11
2011-03-31,S12000042,Other Groups,All Sectors,0,Dundee City,2010/11
2011-03-31,S12000045,Other Groups,All Sectors,0,East Dunbartonshire,2010/11
2011-03-31,S12000047,Other Groups,All Sectors,0,Fife,2010/11
2011-03-31,S12000048,Other Groups,All Sectors,0,Perth and Kinross,2010/11
2011-03-31,S12000049,Other Groups,All Sectors,83,Glasgow City,2010/11
2011-03-31,S12000050,Other Groups,All Sectors,0,North Lanarkshire,2010/11
2011-03-31,S92000003,Other Groups,All Sectors,81,Scotland,2010/11
2011-03-31,S92000003,Other Groups,Local Authority/Health Board Sectors,0,Scotland,2010/11
2011-03-31,S92000003,Other Groups,Private Sector,50,Scotland,2010/11
2011-03-31,S92000003,Other Groups,Voluntary or Not for Profit Sector,83,Scotland,2010/11
2011-03-31,S12000005,Physical and Sensory Impairment,All Sectors,0,Clackmannanshire,2010/11
2011-03-31,S12000008,Physical and Sensory Impairment,All Sectors,100,East Ayrshire,2010/11
2011-03-31,S12000010,Physical and Sensory Impairment,All Sectors,80,East Lothian,2010/11
2011-03-31,S12000011,Physical and Sensory Impairment,All Sectors,0,East Renfrewshire,2010/11
2011-03-31,S12000013,Physical and Sensory Impairment,All Sectors,0,Na h-Eileanan Siar,2010/11
2011-03-31,S12000014,Physical and Sensory Impairment,All Sectors,0,Falkirk,2010/11
2011-03-31,S12000017,Physical and Sensory Impairment,All Sectors,92,Highland,2010/11
2011-03-31,S12000018,Physical and Sensory Impairment,All Sectors,95,Inverclyde,2010/11
2011-03-31,S12000019,Physical and Sensory Impairment,All Sectors,0,Midlothian,2010/11
2011-03-31,S12000020,Physical and Sensory Impairment,All Sectors,0,Moray,2010/11
2011-03-31,S12000021,Physical and Sensory Impairment,All Sectors,89,North Ayrshire,2010/11
2011-03-31,S12000023,Physical and Sensory Impairment,All Sectors,0,Orkney Islands,2010/11
2011-03-31,S12000026,Physical and Sensory Impairment,All Sectors,0,Scottish Borders,2010/11
2011-03-31,S12000027,Physical and Sensory Impairment,All Sectors,0,Shetland Islands,2010/11
2011-03-31,S12000028,Physical and Sensory Impairment,All Sectors,0,South Ayrshire,2010/11
2011-03-31,S12000029,Physical and Sensory Impairment,All Sectors,100,South Lanarkshire,2010/11
2011-03-31,S12000030,Physical and Sensory Impairment,All Sectors,94,Stirling,2010/11
2011-03-31,S12000033,Physical and Sensory Impairment,All Sectors,89,Aberdeen City,2010/11
2011-03-31,S12000034,Physical and Sensory Impairment,All Sectors,0,Aberdeenshire,2010/11
2011-03-31,S12000035,Physical and Sensory Impairment,All Sectors,0,Argyll and Bute,2010/11
2011-03-31,S12000036,Physical and Sensory Impairment,All Sectors,100,City of Edinburgh,2010/11
2011-03-31,S12000038,Physical and Sensory Impairment,All Sectors,70,Renfrewshire,2010/11
2011-03-31,S12000039,Physical and Sensory Impairment,All Sectors,0,West Dunbartonshire,2010/11
2011-03-31,S12000040,Physical and Sensory Impairment,All Sectors,85,West Lothian,2010/11
2011-03-31,S12000041,Physical and Sensory Impairment,All Sectors,0,Angus,2010/11
2011-03-31,S12000045,Physical and Sensory Impairment,All Sectors,100,East Dunbartonshire,2010/11
2011-03-31,S12000047,Physical and Sensory Impairment,All Sectors,88,Fife,2010/11
2011-03-31,S12000048,Physical and Sensory Impairment,All Sectors,77,Perth and Kinross,2010/11
2011-03-31,S12000049,Physical and Sensory Impairment,All Sectors,90,Glasgow City,2010/11
2011-03-31,S12000050,Physical and Sensory Impairment,All Sectors,88,North Lanarkshire,2010/11
2011-03-31,S92000003,Physical and Sensory Impairment,All Sectors,88,Scotland,2010/11
2011-03-31,S92000003,Physical and Sensory Impairment,Local Authority/Health Board Sectors,82,Scotland,2010/11
2011-03-31,S92000003,Physical and Sensory Impairment,Private Sector,89,Scotland,2010/11
2011-03-31,S92000003,Physical and Sensory Impairment,Voluntary or Not for Profit Sector,88,Scotland,2010/11
2012-03-31,S12000005,All Adults,All Sectors,77,Clackmannanshire,2011/12
2012-03-31,S12000005,All Adults,Local Authority/Health Board Sectors,90,Clackmannanshire,2011/12
2012-03-31,S12000005,All Adults,Private Sector,71,Clackmannanshire,2011/12
2012-03-31,S12000005,All Adults,Voluntary or Not for Profit Sector,94,Clackmannanshire,2011/12
2012-03-31,S12000006,All Adults,All Sectors,89,Dumfries and Galloway,2011/12
2012-03-31,S12000006,All Adults,Local Authority/Health Board Sectors,69,Dumfries and Galloway,2011/12
2012-03-31,S12000006,All Adults,Private Sector,88,Dumfries and Galloway,2011/12
2012-03-31,S12000006,All Adults,Voluntary or Not for Profit Sector,91,Dumfries and Galloway,2011/12
2012-03-31,S12000008,All Adults,All Sectors,86,East Ayrshire,2011/12
2012-03-31,S12000008,All Adults,Local Authority/Health Board Sectors,95,East Ayrshire,2011/12
2012-03-31,S12000008,All Adults,Private Sector,85,East Ayrshire,2011/12
2012-03-31,S12000008,All Adults,Voluntary or Not for Profit Sector,0,East Ayrshire,2011/12
2012-03-31,S12000010,All Adults,All Sectors,87,East Lothian,2011/12
2012-03-31,S12000010,All Adults,Local Authority/Health Board Sectors,93,East Lothian,2011/12
2012-03-31,S12000010,All Adults,Private Sector,85,East Lothian,2011/12
2012-03-31,S12000010,All Adults,Voluntary or Not for Profit Sector,85,East Lothian,2011/12
2012-03-31,S12000011,All Adults,All Sectors,89,East Renfrewshire,2011/12
2012-03-31,S12000011,All Adults,Local Authority/Health Board Sectors,88,East Renfrewshire,2011/12
2012-03-31,S12000011,All Adults,Private Sector,88,East Renfrewshire,2011/12
2012-03-31,S12000011,All Adults,Voluntary or Not for Profit Sector,90,East Renfrewshire,2011/12
2012-03-31,S12000013,All Adults,All Sectors,92,Na h-Eileanan Siar,2011/12
2012-03-31,S12000013,All Adults,Local Authority/Health Board Sectors,89,Na h-Eileanan Siar,2011/12
2012-03-31,S12000013,All Adults,Private Sector,98,Na h-Eileanan Siar,2011/12
2012-03-31,S12000013,All Adults,Voluntary or Not for Profit Sector,97,Na h-Eileanan Siar,2011/12
2012-03-31,S12000014,All Adults,All Sectors,90,Falkirk,2011/12
2012-03-31,S12000014,All Adults,Local Authority/Health Board Sectors,80,Falkirk,2011/12
2012-03-31,S12000014,All Adults,Private Sector,91,Falkirk,2011/12
2012-03-31,S12000014,All Adults,Voluntary or Not for Profit Sector,99,Falkirk,2011/12
2012-03-31,S12000017,All Adults,All Sectors,92,Highland,2011/12
2012-03-31,S12000017,All Adults,Local Authority/Health Board Sectors,90,Highland,2011/12
2012-03-31,S12000017,All Adults,Private Sector,92,Highland,2011/12
2012-03-31,S12000017,All Adults,Voluntary or Not for Profit Sector,90,Highland,2011/12
2012-03-31,S12000018,All Adults,All Sectors,89,Inverclyde,2011/12
2012-03-31,S12000018,All Adults,Private Sector,87,Inverclyde,2011/12
2012-03-31,S12000018,All Adults,Voluntary or Not for Profit Sector,91,Inverclyde,2011/12
2012-03-31,S12000019,All Adults,All Sectors,91,Midlothian,2011/12
2012-03-31,S12000019,All Adults,Local Authority/Health Board Sectors,94,Midlothian,2011/12
2012-03-31,S12000019,All Adults,Private Sector,91,Midlothian,2011/12
2012-03-31,S12000019,All Adults,Voluntary or Not for Profit Sector,86,Midlothian,2011/12
2012-03-31,S12000020,All Adults,All Sectors,89,Moray,2011/12
2012-03-31,S12000020,All Adults,Local Authority/Health Board Sectors,62,Moray,2011/12
2012-03-31,S12000020,All Adults,Private Sector,89,Moray,2011/12
2012-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,93,Moray,2011/12
2012-03-31,S12000021,All Adults,All Sectors,84,North Ayrshire,2011/12
