date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2013-03-31,S12000011,Learning Disabilities,All Sectors,10,East Renfrewshire,2012/13
2013-03-31,S12000013,Learning Disabilities,All Sectors,11,Na h-Eileanan Siar,2012/13
2013-03-31,S12000014,Learning Disabilities,All Sectors,113,Falkirk,2012/13
2013-03-31,S12000017,Learning Disabilities,All Sectors,137,Highland,2012/13
2013-03-31,S12000018,Learning Disabilities,All Sectors,33,Inverclyde,2012/13
2013-03-31,S12000019,Learning Disabilities,All Sectors,56,Midlothian,2012/13
2013-03-31,S12000020,Learning Disabilities,All Sectors,31,Moray,2012/13
2013-03-31,S12000021,Learning Disabilities,All Sectors,93,North Ayrshire,2012/13
2013-03-31,S12000023,Learning Disabilities,All Sectors,6,Orkney Islands,2012/13
2013-03-31,S12000026,Learning Disabilities,All Sectors,81,Scottish Borders,2012/13
2013-03-31,S12000027,Learning Disabilities,All Sectors,9,Shetland Islands,2012/13
2013-03-31,S12000028,Learning Disabilities,All Sectors,85,South Ayrshire,2012/13
2013-03-31,S12000029,Learning Disabilities,All Sectors,130,South Lanarkshire,2012/13
2013-03-31,S12000030,Learning Disabilities,All Sectors,66,Stirling,2012/13
2013-03-31,S12000033,Learning Disabilities,All Sectors,168,Aberdeen City,2012/13
2013-03-31,S12000034,Learning Disabilities,All Sectors,187,Aberdeenshire,2012/13
2013-03-31,S12000035,Learning Disabilities,All Sectors,16,Argyll and Bute,2012/13
2013-03-31,S12000036,Learning Disabilities,All Sectors,135,City of Edinburgh,2012/13
2013-03-31,S12000038,Learning Disabilities,All Sectors,38,Renfrewshire,2012/13
2013-03-31,S12000039,Learning Disabilities,All Sectors,6,West Dunbartonshire,2012/13
2013-03-31,S12000040,Learning Disabilities,All Sectors,79,West Lothian,2012/13
2013-03-31,S12000041,Learning Disabilities,All Sectors,71,Angus,2012/13
2013-03-31,S12000042,Learning Disabilities,All Sectors,50,Dundee City,2012/13
2013-03-31,S12000045,Learning Disabilities,All Sectors,21,East Dunbartonshire,2012/13
2013-03-31,S12000047,Learning Disabilities,All Sectors,64,Fife,2012/13
2013-03-31,S12000048,Learning Disabilities,All Sectors,118,Perth and Kinross,2012/13
2013-03-31,S12000049,Learning Disabilities,All Sectors,79,Glasgow City,2012/13
2013-03-31,S12000050,Learning Disabilities,All Sectors,23,North Lanarkshire,2012/13
2013-03-31,S92000003,Learning Disabilities,All Sectors,2125,Scotland,2012/13
2013-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,247,Scotland,2012/13
2013-03-31,S92000003,Learning Disabilities,Private Sector,816,Scotland,2012/13
2013-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,1062,Scotland,2012/13
2013-03-31,S12000005,Mental Health Problems,All Sectors,25,Clackmannanshire,2012/13
2013-03-31,S12000006,Mental Health Problems,All Sectors,76,Dumfries and Galloway,2012/13
2013-03-31,S12000008,Mental Health Problems,All Sectors,25,East Ayrshire,2012/13
2013-03-31,S12000010,Mental Health Problems,All Sectors,0,East Lothian,2012/13
2013-03-31,S12000011,Mental Health Problems,All Sectors,0,East Renfrewshire,2012/13
2013-03-31,S12000013,Mental Health Problems,All Sectors,0,Na h-Eileanan Siar,2012/13
2013-03-31,S12000014,Mental Health Problems,All Sectors,45,Falkirk,2012/13
2013-03-31,S12000017,Mental Health Problems,All Sectors,96,Highland,2012/13
2013-03-31,S12000018,Mental Health Problems,All Sectors,9,Inverclyde,2012/13
2013-03-31,S12000019,Mental Health Problems,All Sectors,0,Midlothian,2012/13
2013-03-31,S12000020,Mental Health Problems,All Sectors,5,Moray,2012/13
2013-03-31,S12000021,Mental Health Problems,All Sectors,8,North Ayrshire,2012/13
2013-03-31,S12000023,Mental Health Problems,All Sectors,0,Orkney Islands,2012/13
2013-03-31,S12000026,Mental Health Problems,All Sectors,0,Scottish Borders,2012/13
2013-03-31,S12000027,Mental Health Problems,All Sectors,0,Shetland Islands,2012/13
2013-03-31,S12000028,Mental Health Problems,All Sectors,0,South Ayrshire,2012/13
2013-03-31,S12000029,Mental Health Problems,All Sectors,46,South Lanarkshire,2012/13
2013-03-31,S12000030,Mental Health Problems,All Sectors,91,Stirling,2012/13
2013-03-31,S12000033,Mental Health Problems,All Sectors,99,Aberdeen City,2012/13
2013-03-31,S12000034,Mental Health Problems,All Sectors,12,Aberdeenshire,2012/13
2013-03-31,S12000035,Mental Health Problems,All Sectors,0,Argyll and Bute,2012/13
2013-03-31,S12000036,Mental Health Problems,All Sectors,21,City of Edinburgh,2012/13
2013-03-31,S12000038,Mental Health Problems,All Sectors,0,Renfrewshire,2012/13
2013-03-31,S12000039,Mental Health Problems,All Sectors,70,West Dunbartonshire,2012/13
2013-03-31,S12000040,Mental Health Problems,All Sectors,0,West Lothian,2012/13
2013-03-31,S12000041,Mental Health Problems,All Sectors,0,Angus,2012/13
2013-03-31,S12000042,Mental Health Problems,All Sectors,57,Dundee City,2012/13
2013-03-31,S12000045,Mental Health Problems,All Sectors,68,East Dunbartonshire,2012/13
2013-03-31,S12000047,Mental Health Problems,All Sectors,32,Fife,2012/13
2013-03-31,S12000048,Mental Health Problems,All Sectors,0,Perth and Kinross,2012/13
2013-03-31,S12000049,Mental Health Problems,All Sectors,270,Glasgow City,2012/13
2013-03-31,S12000050,Mental Health Problems,All Sectors,80,North Lanarkshire,2012/13
2013-03-31,S92000003,Mental Health Problems,All Sectors,1135,Scotland,2012/13
2013-03-31,S92000003,Mental Health Problems,Local Authority/Health Board Sectors,29,Scotland,2012/13
2013-03-31,S92000003,Mental Health Problems,Private Sector,649,Scotland,2012/13
2013-03-31,S92000003,Mental Health Problems,Voluntary or Not for Profit Sector,457,Scotland,2012/13
2013-03-31,S12000005,Older People Aged 65 and Older,All Sectors,282,Clackmannanshire,2012/13
2013-03-31,S12000005,Older People Aged 65 and Older,Local Authority/Health Board Sectors,52,Clackmannanshire,2012/13
2013-03-31,S12000005,Older People Aged 65 and Older,Private Sector,230,Clackmannanshire,2012/13
2013-03-31,S12000005,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Clackmannanshire,2012/13
2013-03-31,S12000006,Older People Aged 65 and Older,All Sectors,1140,Dumfries and Galloway,2012/13
2013-03-31,S12000006,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Dumfries and Galloway,2012/13
2013-03-31,S12000006,Older People Aged 65 and Older,Private Sector,899,Dumfries and Galloway,2012/13
2013-03-31,S12000006,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,241,Dumfries and Galloway,2012/13
2013-03-31,S12000008,Older People Aged 65 and Older,All Sectors,907,East Ayrshire,2012/13
2013-03-31,S12000008,Older People Aged 65 and Older,Local Authority/Health Board Sectors,2,East Ayrshire,2012/13
2013-03-31,S12000008,Older People Aged 65 and Older,Private Sector,905,East Ayrshire,2012/13
2013-03-31,S12000008,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,East Ayrshire,2012/13
2013-03-31,S12000010,Older People Aged 65 and Older,All Sectors,662,East Lothian,2012/13
2013-03-31,S12000010,Older People Aged 65 and Older,Local Authority/Health Board Sectors,148,East Lothian,2012/13
2013-03-31,S12000010,Older People Aged 65 and Older,Private Sector,477,East Lothian,2012/13
2013-03-31,S12000010,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,37,East Lothian,2012/13
2013-03-31,S12000011,Older People Aged 65 and Older,All Sectors,604,East Renfrewshire,2012/13
2013-03-31,S12000011,Older People Aged 65 and Older,Local Authority/Health Board Sectors,34,East Renfrewshire,2012/13
2013-03-31,S12000011,Older People Aged 65 and Older,Private Sector,373,East Renfrewshire,2012/13
2013-03-31,S12000011,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,197,East Renfrewshire,2012/13
2013-03-31,S12000013,Older People Aged 65 and Older,All Sectors,204,Na h-Eileanan Siar,2012/13
2013-03-31,S12000013,Older People Aged 65 and Older,Local Authority/Health Board Sectors,127,Na h-Eileanan Siar,2012/13
2013-03-31,S12000013,Older People Aged 65 and Older,Private Sector,40,Na h-Eileanan Siar,2012/13
2013-03-31,S12000013,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,37,Na h-Eileanan Siar,2012/13
2013-03-31,S12000014,Older People Aged 65 and Older,All Sectors,972,Falkirk,2012/13
2013-03-31,S12000014,Older People Aged 65 and Older,Local Authority/Health Board Sectors,150,Falkirk,2012/13
2013-03-31,S12000014,Older People Aged 65 and Older,Private Sector,762,Falkirk,2012/13
2013-03-31,S12000014,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,60,Falkirk,2012/13
2013-03-31,S12000017,Older People Aged 65 and Older,All Sectors,1800,Highland,2012/13
2013-03-31,S12000017,Older People Aged 65 and Older,Local Authority/Health Board Sectors,265,Highland,2012/13
2013-03-31,S12000017,Older People Aged 65 and Older,Private Sector,1328,Highland,2012/13
2013-03-31,S12000017,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,207,Highland,2012/13
2013-03-31,S12000018,Older People Aged 65 and Older,All Sectors,782,Inverclyde,2012/13
2013-03-31,S12000018,Older People Aged 65 and Older,Local Authority/Health Board Sectors,3,Inverclyde,2012/13
2013-03-31,S12000018,Older People Aged 65 and Older,Private Sector,582,Inverclyde,2012/13
2013-03-31,S12000018,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,197,Inverclyde,2012/13
2013-03-31,S12000019,Older People Aged 65 and Older,All Sectors,597,Midlothian,2012/13
2013-03-31,S12000019,Older People Aged 65 and Older,Local Authority/Health Board Sectors,145,Midlothian,2012/13
2013-03-31,S12000019,Older People Aged 65 and Older,Private Sector,406,Midlothian,2012/13
2013-03-31,S12000019,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,46,Midlothian,2012/13
2013-03-31,S12000020,Older People Aged 65 and Older,All Sectors,592,Moray,2012/13
2013-03-31,S12000020,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,Moray,2012/13
2013-03-31,S12000020,Older People Aged 65 and Older,Private Sector,536,Moray,2012/13
2013-03-31,S12000020,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,56,Moray,2012/13
2013-03-31,S12000021,Older People Aged 65 and Older,All Sectors,1176,North Ayrshire,2012/13
2013-03-31,S12000021,Older People Aged 65 and Older,Local Authority/Health Board Sectors,50,North Ayrshire,2012/13
2013-03-31,S12000021,Older People Aged 65 and Older,Private Sector,1058,North Ayrshire,2012/13
2013-03-31,S12000021,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,68,North Ayrshire,2012/13
2013-03-31,S12000023,Older People Aged 65 and Older,All Sectors,111,Orkney Islands,2012/13
2013-03-31,S12000023,Older People Aged 65 and Older,Local Authority/Health Board Sectors,111,Orkney Islands,2012/13
2013-03-31,S12000023,Older People Aged 65 and Older,Private Sector,0,Orkney Islands,2012/13
2013-03-31,S12000023,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,Orkney Islands,2012/13
2013-03-31,S12000026,Older People Aged 65 and Older,All Sectors,764,Scottish Borders,2012/13
2013-03-31,S12000026,Older People Aged 65 and Older,Local Authority/Health Board Sectors,173,Scottish Borders,2012/13
2013-03-31,S12000026,Older People Aged 65 and Older,Private Sector,543,Scottish Borders,2012/13
2013-03-31,S12000026,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,48,Scottish Borders,2012/13
2013-03-31,S12000027,Older People Aged 65 and Older,All Sectors,170,Shetland Islands,2012/13
2013-03-31,S12000027,Older People Aged 65 and Older,Local Authority/Health Board Sectors,154,Shetland Islands,2012/13
2013-03-31,S12000027,Older People Aged 65 and Older,Private Sector,0,Shetland Islands,2012/13
2013-03-31,S12000027,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,16,Shetland Islands,2012/13
2013-03-31,S12000028,Older People Aged 65 and Older,All Sectors,1054,South Ayrshire,2012/13
2013-03-31,S12000028,Older People Aged 65 and Older,Local Authority/Health Board Sectors,54,South Ayrshire,2012/13
2013-03-31,S12000028,Older People Aged 65 and Older,Private Sector,905,South Ayrshire,2012/13
2013-03-31,S12000028,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,95,South Ayrshire,2012/13
2013-03-31,S12000029,Older People Aged 65 and Older,All Sectors,2593,South Lanarkshire,2012/13
2013-03-31,S12000029,Older People Aged 65 and Older,Local Authority/Health Board Sectors,276,South Lanarkshire,2012/13
2013-03-31,S12000029,Older People Aged 65 and Older,Private Sector,2050,South Lanarkshire,2012/13
2013-03-31,S12000029,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,267,South Lanarkshire,2012/13
2013-03-31,S12000030,Older People Aged 65 and Older,All Sectors,555,Stirling,2012/13
2013-03-31,S12000030,Older People Aged 65 and Older,Local Authority/Health Board Sectors,77,Stirling,2012/13
2013-03-31,S12000030,Older People Aged 65 and Older,Private Sector,431,Stirling,2012/13
2013-03-31,S12000030,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,47,Stirling,2012/13
2013-03-31,S12000033,Older People Aged 65 and Older,All Sectors,1562,Aberdeen City,2012/13
2013-03-31,S12000033,Older People Aged 65 and Older,Local Authority/Health Board Sectors,133,Aberdeen City,2012/13
2013-03-31,S12000033,Older People Aged 65 and Older,Private Sector,1213,Aberdeen City,2012/13
2013-03-31,S12000033,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,216,Aberdeen City,2012/13
2013-03-31,S12000034,Older People Aged 65 and Older,All Sectors,1956,Aberdeenshire,2012/13
2013-03-31,S12000034,Older People Aged 65 and Older,Local Authority/Health Board Sectors,307,Aberdeenshire,2012/13
2013-03-31,S12000034,Older People Aged 65 and Older,Private Sector,1537,Aberdeenshire,2012/13
2013-03-31,S12000034,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,112,Aberdeenshire,2012/13
2013-03-31,S12000035,Older People Aged 65 and Older,All Sectors,638,Argyll and Bute,2012/13
2013-03-31,S12000035,Older People Aged 65 and Older,Local Authority/Health Board Sectors,91,Argyll and Bute,2012/13
2013-03-31,S12000035,Older People Aged 65 and Older,Private Sector,468,Argyll and Bute,2012/13
2013-03-31,S12000035,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,79,Argyll and Bute,2012/13
2013-03-31,S12000036,Older People Aged 65 and Older,All Sectors,2998,City of Edinburgh,2012/13
2013-03-31,S12000036,Older People Aged 65 and Older,Local Authority/Health Board Sectors,509,City of Edinburgh,2012/13
2013-03-31,S12000036,Older People Aged 65 and Older,Private Sector,1983,City of Edinburgh,2012/13
2013-03-31,S12000036,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,506,City of Edinburgh,2012/13
2013-03-31,S12000038,Older People Aged 65 and Older,All Sectors,1450,Renfrewshire,2012/13
2013-03-31,S12000038,Older People Aged 65 and Older,Local Authority/Health Board Sectors,180,Renfrewshire,2012/13
2013-03-31,S12000038,Older People Aged 65 and Older,Private Sector,986,Renfrewshire,2012/13
2013-03-31,S12000038,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,284,Renfrewshire,2012/13
2013-03-31,S12000039,Older People Aged 65 and Older,All Sectors,522,West Dunbartonshire,2012/13
2013-03-31,S12000039,Older People Aged 65 and Older,Local Authority/Health Board Sectors,199,West Dunbartonshire,2012/13
2013-03-31,S12000039,Older People Aged 65 and Older,Private Sector,323,West Dunbartonshire,2012/13
2013-03-31,S12000039,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,0,West Dunbartonshire,2012/13
2013-03-31,S12000040,Older People Aged 65 and Older,All Sectors,893,West Lothian,2012/13
2013-03-31,S12000040,Older People Aged 65 and Older,Local Authority/Health Board Sectors,141,West Lothian,2012/13
2013-03-31,S12000040,Older People Aged 65 and Older,Private Sector,726,West Lothian,2012/13
2013-03-31,S12000040,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,26,West Lothian,2012/13
2013-03-31,S12000041,Older People Aged 65 and Older,All Sectors,1111,Angus,2012/13
2013-03-31,S12000041,Older People Aged 65 and Older,Local Authority/Health Board Sectors,90,Angus,2012/13
2013-03-31,S12000041,Older People Aged 65 and Older,Private Sector,955,Angus,2012/13
2013-03-31,S12000041,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,66,Angus,2012/13
2013-03-31,S12000042,Older People Aged 65 and Older,All Sectors,1138,Dundee City,2012/13
2013-03-31,S12000042,Older People Aged 65 and Older,Local Authority/Health Board Sectors,132,Dundee City,2012/13
2013-03-31,S12000042,Older People Aged 65 and Older,Private Sector,920,Dundee City,2012/13
2013-03-31,S12000042,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,86,Dundee City,2012/13
2013-03-31,S12000045,Older People Aged 65 and Older,All Sectors,640,East Dunbartonshire,2012/13
2013-03-31,S12000045,Older People Aged 65 and Older,Local Authority/Health Board Sectors,0,East Dunbartonshire,2012/13
2013-03-31,S12000045,Older People Aged 65 and Older,Private Sector,638,East Dunbartonshire,2012/13
2013-03-31,S12000045,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,2,East Dunbartonshire,2012/13
2013-03-31,S12000047,Older People Aged 65 and Older,All Sectors,2860,Fife,2012/13
2013-03-31,S12000047,Older People Aged 65 and Older,Local Authority/Health Board Sectors,354,Fife,2012/13
2013-03-31,S12000047,Older People Aged 65 and Older,Private Sector,2424,Fife,2012/13
2013-03-31,S12000047,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,82,Fife,2012/13
2013-03-31,S12000048,Older People Aged 65 and Older,All Sectors,1598,Perth and Kinross,2012/13
2013-03-31,S12000048,Older People Aged 65 and Older,Local Authority/Health Board Sectors,120,Perth and Kinross,2012/13
2013-03-31,S12000048,Older People Aged 65 and Older,Private Sector,1289,Perth and Kinross,2012/13
2013-03-31,S12000048,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,189,Perth and Kinross,2012/13
2013-03-31,S12000049,Older People Aged 65 and Older,All Sectors,4365,Glasgow City,2012/13
2013-03-31,S12000049,Older People Aged 65 and Older,Local Authority/Health Board Sectors,603,Glasgow City,2012/13
2013-03-31,S12000049,Older People Aged 65 and Older,Private Sector,3353,Glasgow City,2012/13
2013-03-31,S12000049,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,409,Glasgow City,2012/13
2013-03-31,S12000050,Older People Aged 65 and Older,All Sectors,1812,North Lanarkshire,2012/13
2013-03-31,S12000050,Older People Aged 65 and Older,Local Authority/Health Board Sectors,122,North Lanarkshire,2012/13
2013-03-31,S12000050,Older People Aged 65 and Older,Private Sector,1653,North Lanarkshire,2012/13
2013-03-31,S12000050,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,37,North Lanarkshire,2012/13
2013-03-31,S92000003,Older People Aged 65 and Older,All Sectors,38508,Scotland,2012/13
2013-03-31,S92000003,Older People Aged 65 and Older,Local Authority/Health Board Sectors,4802,Scotland,2012/13
2013-03-31,S92000003,Older People Aged 65 and Older,Private Sector,29993,Scotland,2012/13
2013-03-31,S92000003,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,3713,Scotland,2012/13
2013-03-31,S12000005,Other Groups,All Sectors,0,Clackmannanshire,2012/13
2013-03-31,S12000006,Other Groups,All Sectors,0,Dumfries and Galloway,2012/13
2013-03-31,S12000008,Other Groups,All Sectors,0,East Ayrshire,2012/13
2013-03-31,S12000010,Other Groups,All Sectors,0,East Lothian,2012/13
2013-03-31,S12000011,Other Groups,All Sectors,0,East Renfrewshire,2012/13
2013-03-31,S12000013,Other Groups,All Sectors,2,Na h-Eileanan Siar,2012/13
2013-03-31,S12000014,Other Groups,All Sectors,0,Falkirk,2012/13
2013-03-31,S12000017,Other Groups,All Sectors,15,Highland,2012/13
2013-03-31,S12000018,Other Groups,All Sectors,0,Inverclyde,2012/13
2013-03-31,S12000019,Other Groups,All Sectors,0,Midlothian,2012/13
2013-03-31,S12000020,Other Groups,All Sectors,0,Moray,2012/13
2013-03-31,S12000021,Other Groups,All Sectors,11,North Ayrshire,2012/13
2013-03-31,S12000023,Other Groups,All Sectors,0,Orkney Islands,2012/13
2013-03-31,S12000026,Other Groups,All Sectors,0,Scottish Borders,2012/13
2013-03-31,S12000027,Other Groups,All Sectors,0,Shetland Islands,2012/13
2013-03-31,S12000028,Other Groups,All Sectors,0,South Ayrshire,2012/13
2013-03-31,S12000029,Other Groups,All Sectors,0,South Lanarkshire,2012/13
2013-03-31,S12000030,Other Groups,All Sectors,0,Stirling,2012/13
2013-03-31,S12000033,Other Groups,All Sectors,50,Aberdeen City,2012/13
2013-03-31,S12000034,Other Groups,All Sectors,0,Aberdeenshire,2012/13
2013-03-31,S12000035,Other Groups,All Sectors,0,Argyll and Bute,2012/13
2013-03-31,S12000036,Other Groups,All Sectors,32,City of Edinburgh,2012/13
2013-03-31,S12000038,Other Groups,All Sectors,0,Renfrewshire,2012/13
2013-03-31,S12000039,Other Groups,All Sectors,0,West Dunbartonshire,2012/13
2013-03-31,S12000040,Other Groups,All Sectors,0,West Lothian,2012/13
2013-03-31,S12000041,Other Groups,All Sectors,0,Angus,2012/13
2013-03-31,S12000042,Other Groups,All Sectors,0,Dundee City,2012/13
2013-03-31,S12000045,Other Groups,All Sectors,0,East Dunbartonshire,2012/13
2013-03-31,S12000047,Other Groups,All Sectors,0,Fife,2012/13
2013-03-31,S12000048,Other Groups,All Sectors,0,Perth and Kinross,2012/13
2013-03-31,S12000049,Other Groups,All Sectors,187,Glasgow City,2012/13
2013-03-31,S12000050,Other Groups,All Sectors,21,North Lanarkshire,2012/13
2013-03-31,S92000003,Other Groups,All Sectors,318,Scotland,2012/13
2013-03-31,S92000003,Other Groups,Local Authority/Health Board Sectors,0,Scotland,2012/13
2013-03-31,S92000003,Other Groups,Private Sector,44,Scotland,2012/13
2013-03-31,S92000003,Other Groups,Voluntary or Not for Profit Sector,274,Scotland,2012/13
2013-03-31,S12000005,Physical and Sensory Impairment,All Sectors,0,Clackmannanshire,2012/13
2013-03-31,S12000006,Physical and Sensory Impairment,All Sectors,5,Dumfries and Galloway,2012/13
2013-03-31,S12000008,Physical and Sensory Impairment,All Sectors,10,East Ayrshire,2012/13
2013-03-31,S12000010,Physical and Sensory Impairment,All Sectors,23,East Lothian,2012/13
2013-03-31,S12000011,Physical and Sensory Impairment,All Sectors,0,East Renfrewshire,2012/13
2013-03-31,S12000013,Physical and Sensory Impairment,All Sectors,0,Na h-Eileanan Siar,2012/13
2013-03-31,S12000014,Physical and Sensory Impairment,All Sectors,0,Falkirk,2012/13
2013-03-31,S12000017,Physical and Sensory Impairment,All Sectors,59,Highland,2012/13
2013-03-31,S12000018,Physical and Sensory Impairment,All Sectors,74,Inverclyde,2012/13
2013-03-31,S12000019,Physical and Sensory Impairment,All Sectors,0,Midlothian,2012/13
2013-03-31,S12000020,Physical and Sensory Impairment,All Sectors,4,Moray,2012/13
2013-03-31,S12000021,Physical and Sensory Impairment,All Sectors,36,North Ayrshire,2012/13
2013-03-31,S12000023,Physical and Sensory Impairment,All Sectors,2,Orkney Islands,2012/13
2013-03-31,S12000026,Physical and Sensory Impairment,All Sectors,0,Scottish Borders,2012/13
2013-03-31,S12000027,Physical and Sensory Impairment,All Sectors,0,Shetland Islands,2012/13
2013-03-31,S12000028,Physical and Sensory Impairment,All Sectors,0,South Ayrshire,2012/13
2013-03-31,S12000029,Physical and Sensory Impairment,All Sectors,24,South Lanarkshire,2012/13
2013-03-31,S12000030,Physical and Sensory Impairment,All Sectors,17,Stirling,2012/13
2013-03-31,S12000033,Physical and Sensory Impairment,All Sectors,61,Aberdeen City,2012/13
2013-03-31,S12000034,Physical and Sensory Impairment,All Sectors,4,Aberdeenshire,2012/13
2013-03-31,S12000035,Physical and Sensory Impairment,All Sectors,0,Argyll and Bute,2012/13
2013-03-31,S12000036,Physical and Sensory Impairment,All Sectors,48,City of Edinburgh,2012/13
2013-03-31,S12000038,Physical and Sensory Impairment,All Sectors,20,Renfrewshire,2012/13
2013-03-31,S12000039,Physical and Sensory Impairment,All Sectors,0,West Dunbartonshire,2012/13
2013-03-31,S12000040,Physical and Sensory Impairment,All Sectors,20,West Lothian,2012/13
2013-03-31,S12000041,Physical and Sensory Impairment,All Sectors,0,Angus,2012/13
2013-03-31,S12000042,Physical and Sensory Impairment,All Sectors,12,Dundee City,2012/13
2013-03-31,S12000045,Physical and Sensory Impairment,All Sectors,22,East Dunbartonshire,2012/13
2013-03-31,S12000047,Physical and Sensory Impairment,All Sectors,71,Fife,2012/13
2013-03-31,S12000048,Physical and Sensory Impairment,All Sectors,61,Perth and Kinross,2012/13
2013-03-31,S12000049,Physical and Sensory Impairment,All Sectors,72,Glasgow City,2012/13
2013-03-31,S12000050,Physical and Sensory Impairment,All Sectors,24,North Lanarkshire,2012/13
2013-03-31,S92000003,Physical and Sensory Impairment,All Sectors,669,Scotland,2012/13
2013-03-31,S92000003,Physical and Sensory Impairment,Local Authority/Health Board Sectors,36,Scotland,2012/13
2013-03-31,S92000003,Physical and Sensory Impairment,Private Sector,175,Scotland,2012/13
2013-03-31,S92000003,Physical and Sensory Impairment,Voluntary or Not for Profit Sector,458,Scotland,2012/13
2014-03-31,S12000005,All Adults,All Sectors,365,Clackmannanshire,2013/14
2014-03-31,S12000005,All Adults,Local Authority/Health Board Sectors,52,Clackmannanshire,2013/14
2014-03-31,S12000005,All Adults,Private Sector,261,Clackmannanshire,2013/14
2014-03-31,S12000005,All Adults,Voluntary or Not for Profit Sector,52,Clackmannanshire,2013/14
2014-03-31,S12000006,All Adults,All Sectors,1262,Dumfries and Galloway,2013/14
2014-03-31,S12000006,All Adults,Local Authority/Health Board Sectors,2,Dumfries and Galloway,2013/14
2014-03-31,S12000006,All Adults,Private Sector,988,Dumfries and Galloway,2013/14
2014-03-31,S12000006,All Adults,Voluntary or Not for Profit Sector,272,Dumfries and Galloway,2013/14
2014-03-31,S12000008,All Adults,All Sectors,1024,East Ayrshire,2013/14
2014-03-31,S12000008,All Adults,Local Authority/Health Board Sectors,12,East Ayrshire,2013/14
2014-03-31,S12000008,All Adults,Private Sector,1012,East Ayrshire,2013/14
2014-03-31,S12000008,All Adults,Voluntary or Not for Profit Sector,0,East Ayrshire,2013/14
2014-03-31,S12000010,All Adults,All Sectors,690,East Lothian,2013/14
2014-03-31,S12000010,All Adults,Local Authority/Health Board Sectors,148,East Lothian,2013/14
2014-03-31,S12000010,All Adults,Private Sector,482,East Lothian,2013/14
2014-03-31,S12000010,All Adults,Voluntary or Not for Profit Sector,60,East Lothian,2013/14
2014-03-31,S12000011,All Adults,All Sectors,618,East Renfrewshire,2013/14
2014-03-31,S12000011,All Adults,Local Authority/Health Board Sectors,34,East Renfrewshire,2013/14
2014-03-31,S12000011,All Adults,Private Sector,377,East Renfrewshire,2013/14
2014-03-31,S12000011,All Adults,Voluntary or Not for Profit Sector,207,East Renfrewshire,2013/14
2014-03-31,S12000013,All Adults,All Sectors,217,Na h-Eileanan Siar,2013/14
2014-03-31,S12000013,All Adults,Local Authority/Health Board Sectors,138,Na h-Eileanan Siar,2013/14
2014-03-31,S12000013,All Adults,Private Sector,40,Na h-Eileanan Siar,2013/14
2014-03-31,S12000013,All Adults,Voluntary or Not for Profit Sector,39,Na h-Eileanan Siar,2013/14
2014-03-31,S12000014,All Adults,All Sectors,1121,Falkirk,2013/14
2014-03-31,S12000014,All Adults,Local Authority/Health Board Sectors,184,Falkirk,2013/14
2014-03-31,S12000014,All Adults,Private Sector,848,Falkirk,2013/14
2014-03-31,S12000014,All Adults,Voluntary or Not for Profit Sector,89,Falkirk,2013/14
2014-03-31,S12000017,All Adults,All Sectors,2109,Highland,2013/14
2014-03-31,S12000017,All Adults,Local Authority/Health Board Sectors,217,Highland,2013/14
2014-03-31,S12000017,All Adults,Private Sector,1596,Highland,2013/14
2014-03-31,S12000017,All Adults,Voluntary or Not for Profit Sector,296,Highland,2013/14
