financial_year,council_area,sector,main_client_group,number_of_places
2011/12,East Lothian,Private Sector,All Adults,485
2011/12,East Lothian,Private Sector,Older People Aged 65 and Older,478
2011/12,East Lothian,Voluntary or Not for Profit Sector,All Adults,67
2011/12,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2011/12,East Renfrewshire,All Sectors,All Adults,623
2011/12,East Renfrewshire,All Sectors,Learning Disabilities,10
2011/12,East Renfrewshire,All Sectors,Mental Health Problems,0
2011/12,East Renfrewshire,All Sectors,Older People Aged 65 and Older,613
2011/12,East Renfrewshire,All Sectors,Other Groups,0
2011/12,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2011/12,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2011/12,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2011/12,East Renfrewshire,Private Sector,All Adults,382
2011/12,East Renfrewshire,Private Sector,Older People Aged 65 and Older,382
2011/12,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,207
2011/12,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,197
2011/12,Falkirk,All Sectors,All Adults,1127
2011/12,Falkirk,All Sectors,Learning Disabilities,110
2011/12,Falkirk,All Sectors,Mental Health Problems,45
2011/12,Falkirk,All Sectors,Older People Aged 65 and Older,972
2011/12,Falkirk,All Sectors,Other Groups,0
2011/12,Falkirk,All Sectors,Physical and Sensory Impairment,0
2011/12,Falkirk,Local Authority/Health Board Sectors,All Adults,184
2011/12,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,150
2011/12,Falkirk,Private Sector,All Adults,854
2011/12,Falkirk,Private Sector,Older People Aged 65 and Older,762
2011/12,Falkirk,Voluntary or Not for Profit Sector,All Adults,89
2011/12,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,60
2011/12,Fife,All Sectors,All Adults,2988
2011/12,Fife,All Sectors,Learning Disabilities,93
2011/12,Fife,All Sectors,Mental Health Problems,32
2011/12,Fife,All Sectors,Older People Aged 65 and Older,2846
2011/12,Fife,All Sectors,Other Groups,0
2011/12,Fife,All Sectors,Physical and Sensory Impairment,17
2011/12,Fife,Local Authority/Health Board Sectors,All Adults,368
2011/12,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,354
2011/12,Fife,Private Sector,All Adults,2479
2011/12,Fife,Private Sector,Older People Aged 65 and Older,2408
2011/12,Fife,Voluntary or Not for Profit Sector,All Adults,141
2011/12,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,84
2011/12,Glasgow City,All Sectors,All Adults,4970
2011/12,Glasgow City,All Sectors,Learning Disabilities,79
2011/12,Glasgow City,All Sectors,Mental Health Problems,291
2011/12,Glasgow City,All Sectors,Older People Aged 65 and Older,4341
2011/12,Glasgow City,All Sectors,Other Groups,187
2011/12,Glasgow City,All Sectors,Physical and Sensory Impairment,72
2011/12,Glasgow City,Local Authority/Health Board Sectors,All Adults,611
2011/12,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,597
2011/12,Glasgow City,Private Sector,All Adults,3414
2011/12,Glasgow City,Private Sector,Older People Aged 65 and Older,3372
2011/12,Glasgow City,Voluntary or Not for Profit Sector,All Adults,945
2011/12,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,372
2011/12,Highland,All Sectors,All Adults,2115
2011/12,Highland,All Sectors,Learning Disabilities,145
2011/12,Highland,All Sectors,Mental Health Problems,95
2011/12,Highland,All Sectors,Older People Aged 65 and Older,1801
2011/12,Highland,All Sectors,Other Groups,15
2011/12,Highland,All Sectors,Physical and Sensory Impairment,59
2011/12,Highland,Local Authority/Health Board Sectors,All Adults,281
2011/12,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,265
2011/12,Highland,Private Sector,All Adults,1545
2011/12,Highland,Private Sector,Older People Aged 65 and Older,1329
2011/12,Highland,Voluntary or Not for Profit Sector,All Adults,289
2011/12,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,207
2011/12,Inverclyde,All Sectors,All Adults,891
2011/12,Inverclyde,All Sectors,Learning Disabilities,36
2011/12,Inverclyde,All Sectors,Mental Health Problems,9
2011/12,Inverclyde,All Sectors,Older People Aged 65 and Older,773
2011/12,Inverclyde,All Sectors,Other Groups,0
2011/12,Inverclyde,All Sectors,Physical and Sensory Impairment,73
2011/12,Inverclyde,Local Authority/Health Board Sectors,All Adults,3
2011/12,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,3
2011/12,Inverclyde,Private Sector,All Adults,573
2011/12,Inverclyde,Private Sector,Older People Aged 65 and Older,573
2011/12,Inverclyde,Voluntary or Not for Profit Sector,All Adults,315
2011/12,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,197
2011/12,Midlothian,All Sectors,All Adults,653
2011/12,Midlothian,All Sectors,Learning Disabilities,56
2011/12,Midlothian,All Sectors,Mental Health Problems,0
2011/12,Midlothian,All Sectors,Older People Aged 65 and Older,597
2011/12,Midlothian,All Sectors,Other Groups,0
2011/12,Midlothian,All Sectors,Physical and Sensory Impairment,0
2011/12,Midlothian,Local Authority/Health Board Sectors,All Adults,145
2011/12,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,145
2011/12,Midlothian,Private Sector,All Adults,406
2011/12,Midlothian,Private Sector,Older People Aged 65 and Older,406
2011/12,Midlothian,Voluntary or Not for Profit Sector,All Adults,102
2011/12,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,46
2011/12,Moray,All Sectors,All Adults,638
2011/12,Moray,All Sectors,Learning Disabilities,34
2011/12,Moray,All Sectors,Mental Health Problems,5
2011/12,Moray,All Sectors,Older People Aged 65 and Older,595
2011/12,Moray,All Sectors,Other Groups,0
2011/12,Moray,All Sectors,Physical and Sensory Impairment,4
2011/12,Moray,Local Authority/Health Board Sectors,All Adults,13
2011/12,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2011/12,Moray,Private Sector,All Adults,539
2011/12,Moray,Private Sector,Older People Aged 65 and Older,539
2011/12,Moray,Voluntary or Not for Profit Sector,All Adults,86
2011/12,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,56
2011/12,Na h-Eileanan Siar,All Sectors,All Adults,219
2011/12,Na h-Eileanan Siar,All Sectors,Learning Disabilities,11
2011/12,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2011/12,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,208
2011/12,Na h-Eileanan Siar,All Sectors,Other Groups,0
2011/12,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2011/12,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,142
2011/12,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,131
2011/12,Na h-Eileanan Siar,Private Sector,All Adults,40
2011/12,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2011/12,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,37
2011/12,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2011/12,North Ayrshire,All Sectors,All Adults,1323
2011/12,North Ayrshire,All Sectors,Learning Disabilities,93
2011/12,North Ayrshire,All Sectors,Mental Health Problems,8
2011/12,North Ayrshire,All Sectors,Older People Aged 65 and Older,1180
2011/12,North Ayrshire,All Sectors,Other Groups,6
2011/12,North Ayrshire,All Sectors,Physical and Sensory Impairment,36
2011/12,North Ayrshire,Local Authority/Health Board Sectors,All Adults,50
2011/12,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,50
2011/12,North Ayrshire,Private Sector,All Adults,1151
2011/12,North Ayrshire,Private Sector,Older People Aged 65 and Older,1062
2011/12,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,122
2011/12,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2011/12,North Lanarkshire,All Sectors,All Adults,2001
2011/12,North Lanarkshire,All Sectors,Learning Disabilities,40
2011/12,North Lanarkshire,All Sectors,Mental Health Problems,80
2011/12,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1836
2011/12,North Lanarkshire,All Sectors,Other Groups,21
2011/12,North Lanarkshire,All Sectors,Physical and Sensory Impairment,24
2011/12,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,122
2011/12,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,122
2011/12,North Lanarkshire,Private Sector,All Adults,1796
2011/12,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1671
2011/12,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,83
2011/12,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,43
2011/12,Orkney Islands,All Sectors,All Adults,117
2011/12,Orkney Islands,All Sectors,Learning Disabilities,7
2011/12,Orkney Islands,All Sectors,Mental Health Problems,0
2011/12,Orkney Islands,All Sectors,Older People Aged 65 and Older,108
2011/12,Orkney Islands,All Sectors,Other Groups,0
2011/12,Orkney Islands,All Sectors,Physical and Sensory Impairment,2
2011/12,Orkney Islands,Local Authority/Health Board Sectors,All Adults,112
2011/12,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,108
2011/12,Orkney Islands,Private Sector,All Adults,0
2011/12,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2011/12,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,5
2011/12,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2011/12,Perth and Kinross,All Sectors,All Adults,1797
2011/12,Perth and Kinross,All Sectors,Learning Disabilities,118
2011/12,Perth and Kinross,All Sectors,Mental Health Problems,0
2011/12,Perth and Kinross,All Sectors,Older People Aged 65 and Older,1583
2011/12,Perth and Kinross,All Sectors,Other Groups,0
2011/12,Perth and Kinross,All Sectors,Physical and Sensory Impairment,96
2011/12,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,120
2011/12,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,120
2011/12,Perth and Kinross,Private Sector,All Adults,1353
2011/12,Perth and Kinross,Private Sector,Older People Aged 65 and Older,1274
2011/12,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,324
2011/12,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,189
2011/12,Renfrewshire,All Sectors,All Adults,1518
2011/12,Renfrewshire,All Sectors,Learning Disabilities,43
2011/12,Renfrewshire,All Sectors,Mental Health Problems,0
2011/12,Renfrewshire,All Sectors,Older People Aged 65 and Older,1455
2011/12,Renfrewshire,All Sectors,Other Groups,0
2011/12,Renfrewshire,All Sectors,Physical and Sensory Impairment,20
2011/12,Renfrewshire,Local Authority/Health Board Sectors,All Adults,190
2011/12,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,180
2011/12,Renfrewshire,Private Sector,All Adults,1270
2011/12,Renfrewshire,Private Sector,Older People Aged 65 and Older,1245
2011/12,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,58
2011/12,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,30
2011/12,Scotland,All Sectors,All Adults,42807
2011/12,Scotland,All Sectors,Learning Disabilities,2302
2011/12,Scotland,All Sectors,Mental Health Problems,1086
2011/12,Scotland,All Sectors,Older People Aged 65 and Older,38465
2011/12,Scotland,All Sectors,Other Groups,310
2011/12,Scotland,All Sectors,Physical and Sensory Impairment,644
2011/12,Scotland,Local Authority/Health Board Sectors,All Adults,5147
2011/12,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,260
2011/12,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,29
2011/12,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4822
2011/12,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2011/12,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,36
2011/12,Scotland,Private Sector,All Adults,31705
2011/12,Scotland,Private Sector,Learning Disabilities,934
2011/12,Scotland,Private Sector,Mental Health Problems,508
2011/12,Scotland,Private Sector,Older People Aged 65 and Older,30111
2011/12,Scotland,Private Sector,Other Groups,37
2011/12,Scotland,Private Sector,Physical and Sensory Impairment,115
2011/12,Scotland,Voluntary or Not for Profit Sector,All Adults,5955
2011/12,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,1108
2011/12,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,549
2011/12,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,3532
2011/12,Scotland,Voluntary or Not for Profit Sector,Other Groups,273
2011/12,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,493
2011/12,Scottish Borders,All Sectors,All Adults,870
2011/12,Scottish Borders,All Sectors,Learning Disabilities,79
2011/12,Scottish Borders,All Sectors,Mental Health Problems,0
2011/12,Scottish Borders,All Sectors,Older People Aged 65 and Older,791
2011/12,Scottish Borders,All Sectors,Other Groups,0
2011/12,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2011/12,Scottish Borders,Local Authority/Health Board Sectors,All Adults,202
2011/12,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,202
2011/12,Scottish Borders,Private Sector,All Adults,541
2011/12,Scottish Borders,Private Sector,Older People Aged 65 and Older,541
2011/12,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,127
2011/12,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2011/12,Shetland Islands,All Sectors,All Adults,171
2011/12,Shetland Islands,All Sectors,Learning Disabilities,9
2011/12,Shetland Islands,All Sectors,Mental Health Problems,0
2011/12,Shetland Islands,All Sectors,Older People Aged 65 and Older,162
2011/12,Shetland Islands,All Sectors,Other Groups,0
2011/12,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2011/12,Shetland Islands,Local Authority/Health Board Sectors,All Adults,155
2011/12,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,146
2011/12,Shetland Islands,Private Sector,All Adults,0
2011/12,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2011/12,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,16
2011/12,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,16
2011/12,South Ayrshire,All Sectors,All Adults,1132
2011/12,South Ayrshire,All Sectors,Learning Disabilities,87
2011/12,South Ayrshire,All Sectors,Mental Health Problems,0
2011/12,South Ayrshire,All Sectors,Older People Aged 65 and Older,1045
2011/12,South Ayrshire,All Sectors,Other Groups,0
2011/12,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2011/12,South Ayrshire,Local Authority/Health Board Sectors,All Adults,60
2011/12,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,54
2011/12,South Ayrshire,Private Sector,All Adults,920
2011/12,South Ayrshire,Private Sector,Older People Aged 65 and Older,896
2011/12,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,152
2011/12,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,95
2011/12,South Lanarkshire,All Sectors,All Adults,2829
2011/12,South Lanarkshire,All Sectors,Learning Disabilities,140
2011/12,South Lanarkshire,All Sectors,Mental Health Problems,46
2011/12,South Lanarkshire,All Sectors,Older People Aged 65 and Older,2619
2011/12,South Lanarkshire,All Sectors,Other Groups,0
2011/12,South Lanarkshire,All Sectors,Physical and Sensory Impairment,24
2011/12,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,277
2011/12,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,277
2011/12,South Lanarkshire,Private Sector,All Adults,2149
2011/12,South Lanarkshire,Private Sector,Older People Aged 65 and Older,2046
2011/12,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,403
2011/12,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,296
2011/12,Stirling,All Sectors,All Adults,711
2011/12,Stirling,All Sectors,Learning Disabilities,66
2011/12,Stirling,All Sectors,Mental Health Problems,64
2011/12,Stirling,All Sectors,Older People Aged 65 and Older,564
2011/12,Stirling,All Sectors,Other Groups,0
2011/12,Stirling,All Sectors,Physical and Sensory Impairment,17
2011/12,Stirling,Local Authority/Health Board Sectors,All Adults,78
2011/12,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,78
2011/12,Stirling,Private Sector,All Adults,409
2011/12,Stirling,Private Sector,Older People Aged 65 and Older,343
2011/12,Stirling,Voluntary or Not for Profit Sector,All Adults,224
2011/12,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,143
2011/12,West Dunbartonshire,All Sectors,All Adults,598
2011/12,West Dunbartonshire,All Sectors,Learning Disabilities,6
2011/12,West Dunbartonshire,All Sectors,Mental Health Problems,0
2011/12,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,592
2011/12,West Dunbartonshire,All Sectors,Other Groups,0
2011/12,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2011/12,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,199
2011/12,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,199
2011/12,West Dunbartonshire,Private Sector,All Adults,393
2011/12,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,393
2011/12,West Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,6
2011/12,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2011/12,West Lothian,All Sectors,All Adults,1014
2011/12,West Lothian,All Sectors,Learning Disabilities,79
2011/12,West Lothian,All Sectors,Mental Health Problems,0
2011/12,West Lothian,All Sectors,Older People Aged 65 and Older,915
2011/12,West Lothian,All Sectors,Other Groups,0
2011/12,West Lothian,All Sectors,Physical and Sensory Impairment,20
2011/12,West Lothian,Local Authority/Health Board Sectors,All Adults,154
2011/12,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,141
2011/12,West Lothian,Private Sector,All Adults,765
2011/12,West Lothian,Private Sector,Older People Aged 65 and Older,748
2011/12,West Lothian,Voluntary or Not for Profit Sector,All Adults,95
2011/12,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,26
2012/13,Aberdeen City,All Sectors,All Adults,1940
2012/13,Aberdeen City,All Sectors,Learning Disabilities,168
2012/13,Aberdeen City,All Sectors,Mental Health Problems,99
2012/13,Aberdeen City,All Sectors,Older People Aged 65 and Older,1562
2012/13,Aberdeen City,All Sectors,Other Groups,50
2012/13,Aberdeen City,All Sectors,Physical and Sensory Impairment,61
2012/13,Aberdeen City,Local Authority/Health Board Sectors,All Adults,162
2012/13,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,133
2012/13,Aberdeen City,Private Sector,All Adults,1256
2012/13,Aberdeen City,Private Sector,Older People Aged 65 and Older,1213
2012/13,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,522
2012/13,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,216
2012/13,Aberdeenshire,All Sectors,All Adults,2159
2012/13,Aberdeenshire,All Sectors,Learning Disabilities,187
2012/13,Aberdeenshire,All Sectors,Mental Health Problems,12
2012/13,Aberdeenshire,All Sectors,Older People Aged 65 and Older,1956
2012/13,Aberdeenshire,All Sectors,Other Groups,0
2012/13,Aberdeenshire,All Sectors,Physical and Sensory Impairment,4
2012/13,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,336
2012/13,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,307
2012/13,Aberdeenshire,Private Sector,All Adults,1563
2012/13,Aberdeenshire,Private Sector,Older People Aged 65 and Older,1537
2012/13,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,260
2012/13,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,112
2012/13,Angus,All Sectors,All Adults,1182
2012/13,Angus,All Sectors,Learning Disabilities,71
2012/13,Angus,All Sectors,Mental Health Problems,0
2012/13,Angus,All Sectors,Older People Aged 65 and Older,1111
2012/13,Angus,All Sectors,Other Groups,0
2012/13,Angus,All Sectors,Physical and Sensory Impairment,0
2012/13,Angus,Local Authority/Health Board Sectors,All Adults,112
2012/13,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,90
2012/13,Angus,Private Sector,All Adults,1004
2012/13,Angus,Private Sector,Older People Aged 65 and Older,955
2012/13,Angus,Voluntary or Not for Profit Sector,All Adults,66
2012/13,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,66
2012/13,Argyll and Bute,All Sectors,All Adults,654
2012/13,Argyll and Bute,All Sectors,Learning Disabilities,16
2012/13,Argyll and Bute,All Sectors,Mental Health Problems,0
2012/13,Argyll and Bute,All Sectors,Older People Aged 65 and Older,638
2012/13,Argyll and Bute,All Sectors,Other Groups,0
2012/13,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2012/13,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,91
2012/13,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,91
2012/13,Argyll and Bute,Private Sector,All Adults,480
2012/13,Argyll and Bute,Private Sector,Older People Aged 65 and Older,468
2012/13,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,83
2012/13,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,79
2012/13,City of Edinburgh,All Sectors,All Adults,3234
2012/13,City of Edinburgh,All Sectors,Learning Disabilities,135
2012/13,City of Edinburgh,All Sectors,Mental Health Problems,21
2012/13,City of Edinburgh,All Sectors,Older People Aged 65 and Older,2998
2012/13,City of Edinburgh,All Sectors,Other Groups,32
2012/13,City of Edinburgh,All Sectors,Physical and Sensory Impairment,48
2012/13,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,544
2012/13,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,509
2012/13,City of Edinburgh,Private Sector,All Adults,2000
2012/13,City of Edinburgh,Private Sector,Older People Aged 65 and Older,1983
2012/13,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,690
2012/13,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,506
2012/13,Clackmannanshire,All Sectors,All Adults,381
2012/13,Clackmannanshire,All Sectors,Learning Disabilities,74
2012/13,Clackmannanshire,All Sectors,Mental Health Problems,25
2012/13,Clackmannanshire,All Sectors,Older People Aged 65 and Older,282
2012/13,Clackmannanshire,All Sectors,Other Groups,0
2012/13,Clackmannanshire,All Sectors,Physical and Sensory Impairment,0
2012/13,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,52
2012/13,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,52
2012/13,Clackmannanshire,Private Sector,All Adults,277
2012/13,Clackmannanshire,Private Sector,Older People Aged 65 and Older,230
2012/13,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,52
2012/13,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2012/13,Dumfries and Galloway,All Sectors,All Adults,1284
2012/13,Dumfries and Galloway,All Sectors,Learning Disabilities,63
2012/13,Dumfries and Galloway,All Sectors,Mental Health Problems,76
2012/13,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,1140
2012/13,Dumfries and Galloway,All Sectors,Other Groups,0
2012/13,Dumfries and Galloway,All Sectors,Physical and Sensory Impairment,5
2012/13,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,13
2012/13,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2012/13,Dumfries and Galloway,Private Sector,All Adults,993
2012/13,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,899
2012/13,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,278
2012/13,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,241
2012/13,Dundee City,All Sectors,All Adults,1257
2012/13,Dundee City,All Sectors,Learning Disabilities,50
2012/13,Dundee City,All Sectors,Mental Health Problems,57
2012/13,Dundee City,All Sectors,Older People Aged 65 and Older,1138
2012/13,Dundee City,All Sectors,Other Groups,0
2012/13,Dundee City,All Sectors,Physical and Sensory Impairment,12
2012/13,Dundee City,Local Authority/Health Board Sectors,All Adults,157
2012/13,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,132
2012/13,Dundee City,Private Sector,All Adults,1011
2012/13,Dundee City,Private Sector,Older People Aged 65 and Older,920
2012/13,Dundee City,Voluntary or Not for Profit Sector,All Adults,89
2012/13,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,86
2012/13,East Ayrshire,All Sectors,All Adults,1000
2012/13,East Ayrshire,All Sectors,Learning Disabilities,58
2012/13,East Ayrshire,All Sectors,Mental Health Problems,25
2012/13,East Ayrshire,All Sectors,Older People Aged 65 and Older,907
2012/13,East Ayrshire,All Sectors,Other Groups,0
2012/13,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2012/13,East Ayrshire,Local Authority/Health Board Sectors,All Adults,12
2012/13,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,2
2012/13,East Ayrshire,Private Sector,All Adults,988
2012/13,East Ayrshire,Private Sector,Older People Aged 65 and Older,905
2012/13,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2012/13,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2012/13,East Dunbartonshire,All Sectors,All Adults,751
2012/13,East Dunbartonshire,All Sectors,Learning Disabilities,21
2012/13,East Dunbartonshire,All Sectors,Mental Health Problems,68
2012/13,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,640
2012/13,East Dunbartonshire,All Sectors,Other Groups,0
2012/13,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,22
2012/13,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2012/13,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2012/13,East Dunbartonshire,Private Sector,All Adults,728
2012/13,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,638
2012/13,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,12
2012/13,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,2
2012/13,East Lothian,All Sectors,All Adults,699
2012/13,East Lothian,All Sectors,Learning Disabilities,14
2012/13,East Lothian,All Sectors,Mental Health Problems,0
2012/13,East Lothian,All Sectors,Older People Aged 65 and Older,662
2012/13,East Lothian,All Sectors,Other Groups,0
2012/13,East Lothian,All Sectors,Physical and Sensory Impairment,23
2012/13,East Lothian,Local Authority/Health Board Sectors,All Adults,148
2012/13,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,148
2012/13,East Lothian,Private Sector,All Adults,484
2012/13,East Lothian,Private Sector,Older People Aged 65 and Older,477
2012/13,East Lothian,Voluntary or Not for Profit Sector,All Adults,67
2012/13,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2012/13,East Renfrewshire,All Sectors,All Adults,614
2012/13,East Renfrewshire,All Sectors,Learning Disabilities,10
2012/13,East Renfrewshire,All Sectors,Mental Health Problems,0
2012/13,East Renfrewshire,All Sectors,Older People Aged 65 and Older,604
2012/13,East Renfrewshire,All Sectors,Other Groups,0
2012/13,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2012/13,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2012/13,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2012/13,East Renfrewshire,Private Sector,All Adults,373
2012/13,East Renfrewshire,Private Sector,Older People Aged 65 and Older,373
2012/13,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,207
